Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15	Zeit (s) Messreihe #16	Spannung, Ch A (V) Messreihe #16	Spannung, Ch B (V) Messreihe #16	Zeit (s) Messreihe #17	Spannung, Ch A (V) Messreihe #17	Spannung, Ch B (V) Messreihe #17
			10,380	2,882	2,388	10,380	2,171	0,270	10,380	3,258	2,628	10,380	2,787	0,270	10,380	0,709	2,553	10,380	0,436	2,592	10,380	0,407	2,649	10,380	0,602	2,597	10,380	0,494	2,621	10,380	0,489	2,613	10,380	0,484	2,643	10,380	0,567	2,580	10,380	0,577	2,697	10,380	0,500	2,654	5,190	0,378	1,303	10,380	0,504	2,605
			10,400	2,888	2,433	10,400	2,176	0,263	10,400	3,263	2,662	10,400	2,793	0,302	10,400	0,678	2,558	10,400	0,420	2,597	10,400	0,413	2,656	10,400	0,603	2,603	10,400	0,492	2,626	10,400	0,484	2,618	10,400	0,488	2,648	10,400	0,551	2,586	10,400	0,596	2,703	10,400	0,500	2,661	5,200	0,418	1,306	10,400	0,495	2,611
			10,420	2,893	2,477	10,420	2,182	0,256	10,420	3,270	2,694	10,420	2,799	0,333	10,420	0,648	2,564	10,420	0,405	2,603	10,420	0,417	2,662	10,420	0,606	2,608	10,420	0,490	2,632	10,420	0,480	2,624	10,420	0,493	2,653	10,420	0,536	2,591	10,420	0,617	2,709	10,420	0,501	2,666	5,210	0,394	1,308	10,420	0,489	2,616
			10,440	2,899	2,522	10,440	2,187	0,249	10,440	3,275	2,725	10,440	2,805	0,361	10,440	0,620	2,569	10,440	0,392	2,608	10,440	0,419	2,667	10,440	0,611	2,613	10,440	0,490	2,637	10,440	0,478	2,629	10,440	0,500	2,659	10,440	0,524	2,596	10,440	0,637	2,714	10,440	0,520	2,672	5,220	0,436	1,311	10,440	0,485	2,621
			10,460	2,905	2,567	10,460	2,193	0,242	10,460	3,281	2,756	10,460	2,810	0,387	10,460	0,592	2,574	10,460	0,381	2,613	10,460	0,433	2,673	10,460	0,618	2,618	10,460	0,492	2,642	10,460	0,477	2,634	10,460	0,509	2,664	10,460	0,512	2,601	10,460	0,659	2,719	10,460	0,532	2,679	5,230	0,412	1,314	10,460	0,481	2,627
			10,480	2,911	2,614	10,480	2,199	0,235	10,480	3,287	2,788	10,480	2,815	0,412	10,480	0,565	2,579	10,480	0,371	2,619	10,480	0,440	2,678	10,480	0,623	2,624	10,480	0,497	2,648	10,480	0,478	2,639	10,480	0,519	2,669	10,480	0,503	2,607	10,480	0,683	2,725	10,480	0,552	2,686	5,240	0,453	1,317	10,480	0,479	2,631
			10,500	2,917	2,659	10,500	2,204	0,228	10,500	3,293	2,819	10,500	2,821	0,436	10,500	0,539	2,584	10,500	0,365	2,624	10,500	0,445	2,682	10,500	0,639	2,629	10,500	0,502	2,653	10,500	0,482	2,645	10,500	0,529	2,674	10,500	0,495	2,612	10,500	0,708	2,730	10,500	0,575	2,694	5,250	0,428	1,319	10,500	0,481	2,637
			10,520	2,923	2,707	10,520	2,211	0,222	10,520	3,299	2,850	10,520	2,827	0,458	10,520	0,517	2,590	10,520	0,356	2,629	10,520	0,452	2,685	10,520	0,654	2,635	10,520	0,510	2,659	10,520	0,484	2,650	10,520	0,542	2,680	10,520	0,489	2,617	10,520	0,732	2,735	10,520	0,566	2,695	5,260	0,470	1,322	10,520	0,484	2,643
			10,540	2,928	2,753	10,540	2,216	0,214	10,540	3,304	2,882	10,540	2,833	0,480	10,540	0,484	2,595	10,540	0,350	2,635	10,540	0,468	2,690	10,540	0,670	2,639	10,540	0,517	2,664	10,540	0,492	2,655	10,540	0,556	2,685	10,540	0,485	2,623	10,540	0,758	2,740	10,540	0,606	2,704	5,270	0,448	1,324	10,540	0,483	2,647
			10,560	2,934	2,799	10,560	2,222	0,207	10,560	3,310	2,913	10,560	2,839	0,501	10,560	0,450	2,600	10,560	0,345	2,640	10,560	0,496	2,699	10,560	0,690	2,645	10,560	0,527	2,669	10,560	0,499	2,660	10,560	0,571	2,690	10,560	0,482	2,628	10,560	0,790	2,746	10,560	0,650	2,715	5,280	0,489	1,327	10,560	0,493	2,652
			10,580	2,940	2,846	10,580	2,228	0,201	10,580	3,315	2,944	10,580	2,845	0,521	10,580	0,445	2,606	10,580	0,343	2,645	10,580	0,517	2,704	10,580	0,711	2,650	10,580	0,538	2,674	10,580	0,508	2,666	10,580	0,587	2,696	10,580	0,482	2,633	10,580	0,818	2,752	10,580	0,661	2,719	5,290	0,468	1,330	10,580	0,496	2,658
			10,600	2,946	2,894	10,600	2,234	0,194	10,600	3,322	2,976	10,600	2,851	0,541	10,600	0,427	2,611	10,600	0,341	2,650	10,600	0,526	2,709	10,600	0,736	2,656	10,600	0,550	2,679	10,600	0,518	2,671	10,600	0,605	2,701	10,600	0,482	2,638	10,600	0,843	2,756	10,600	0,637	2,715	5,300	0,509	1,332	10,600	0,504	2,662
			10,620	2,952	2,949	10,620	2,240	0,187	10,620	3,328	3,007	10,620	2,857	0,561	10,620	0,411	2,616	10,620	0,343	2,656	10,620	0,543	2,714	10,620	0,762	2,661	10,620	0,564	2,685	10,620	0,529	2,676	10,620	0,624	2,706	10,620	0,485	2,643	10,620	0,875	2,761	10,620	0,664	2,719	5,310	0,488	1,335	10,620	0,515	2,668
			10,640	2,958	2,986	10,640	2,246	0,168	10,640	3,333	3,039	10,640	2,862	0,580	10,640	0,396	2,621	10,640	0,344	2,661	10,640	0,562	2,719	10,640	0,790	2,666	10,640	0,579	2,690	10,640	0,542	2,681	10,640	0,645	2,712	10,640	0,489	2,649	10,640	0,913	2,768	10,640	0,705	2,728	5,320	0,528	1,337	10,640	0,532	2,674
			10,660	2,963	3,030	10,660	2,251	0,152	10,660	3,339	3,070	10,660	2,868	0,600	10,660	0,382	2,627	10,660	0,347	2,666	10,660	0,588	2,725	10,660	0,821	2,672	10,660	0,595	2,695	10,660	0,556	2,687	10,660	0,667	2,717	10,660	0,495	2,654	10,660	0,947	2,773	10,660	0,728	2,733	5,330	0,509	1,341	10,660	0,545	2,682
			10,680	2,969	3,075	10,680	2,257	0,164	10,680	3,345	3,102	10,680	2,874	0,620	10,680	0,370	2,632	10,680	0,351	2,672	10,680	0,612	2,731	10,680	0,852	2,677	10,680	0,613	2,700	10,680	0,571	2,692	10,680	0,688	2,722	10,680	0,502	2,660	10,680	0,985	2,778	10,680	0,762	2,740	5,340	0,551	1,344	10,680	0,541	2,682
			10,700	2,975	3,121	10,700	2,263	0,159	10,700	3,351	3,135	10,700	2,880	0,591	10,700	0,360	2,638	10,700	0,355	2,677	10,700	0,636	2,736	10,700	0,888	2,682	10,700	0,633	2,706	10,700	0,588	2,698	10,700	0,713	2,727	10,700	0,508	2,665	10,700	1,019	2,784	10,700	0,784	2,745	5,350	0,533	1,347	10,700	0,570	2,690
			10,720	2,981	3,166	10,720	2,269	0,153	10,720	3,357	3,174	10,720	2,886	0,651	10,720	0,350	2,643	10,720	0,361	2,683	10,720	0,649	2,740	10,720	0,922	2,687	10,720	0,654	2,711	10,720	0,606	2,703	10,720	0,739	2,733	10,720	0,520	2,670	10,720	1,055	2,789	10,720	0,825	2,752	5,360	0,571	1,349	10,720	0,588	2,697
			10,740	2,987	3,212	10,740	2,275	0,146	10,740	3,363	3,203	10,740	2,892	0,684	10,740	0,342	2,648	10,740	0,368	2,688	10,740	0,677	2,745	10,740	0,960	2,693	10,740	0,676	2,717	10,740	0,625	2,708	10,740	0,766	2,738	10,740	0,531	2,675	10,740	1,095	2,794	10,740	0,851	2,756	5,370	0,553	1,352	10,740	0,597	2,700
			10,760	2,992	3,257	10,760	2,281	0,139	10,760	3,368	3,231	10,760	2,898	0,710	10,760	0,335	2,653	10,760	0,376	2,693	10,760	0,703	2,750	10,760	1,002	2,699	10,760	0,699	2,722	10,760	0,646	2,714	10,760	0,794	2,743	10,760	0,544	2,681	10,760	1,134	2,800	10,760	0,868	2,759	5,380	0,593	1,354	10,760	0,621	2,706
			10,780	2,998	3,302	10,780	2,287	0,132	10,780	3,374	3,262	10,780	2,904	0,737	10,780	0,329	2,658	10,780	0,385	2,698	10,780	0,730	2,755	10,780	1,044	2,704	10,780	0,724	2,727	10,780	0,668	2,719	10,780	0,825	2,749	10,780	0,558	2,686	10,780	1,174	2,804	10,780	0,875	2,761	5,390	0,573	1,357	10,780	0,633	2,710
			10,800	3,005	3,348	10,800	2,292	0,125	10,800	3,380	3,294	10,800	2,909	0,765	10,800	0,326	2,664	10,800	0,396	2,703	10,800	0,757	2,759	10,800	1,088	2,709	10,800	0,750	2,733	10,800	0,693	2,724	10,800	0,854	2,754	10,800	0,573	2,691	10,800	1,211	2,809	10,800	0,901	2,765	5,400	0,614	1,359	10,800	0,660	2,716
			10,820	3,010	3,393	10,820	2,298	0,118	10,820	3,386	3,326	10,820	2,915	0,797	10,820	0,323	2,669	10,820	0,407	2,709	10,820	0,787	2,764	10,820	1,140	2,714	10,820	0,777	2,738	10,820	0,736	2,729	10,820	0,887	2,759	10,820	0,590	2,697	10,820	1,253	2,815	10,820	0,932	2,770	5,410	0,596	1,362	10,820	0,676	2,720
			10,840	3,016	3,438	10,840	2,304	0,112	10,840	3,392	3,358	10,840	2,922	0,830	10,840	0,322	2,675	10,840	0,421	2,714	10,840	0,828	2,771	10,840	1,220	2,719	10,840	0,805	2,743	10,840	0,750	2,734	10,840	0,918	2,765	10,840	0,607	2,702	10,840	1,293	2,820	10,840	0,959	2,774	5,420	0,638	1,365	10,840	0,700	2,726
			10,860	3,022	3,483	10,860	2,310	0,104	10,860	3,397	3,390	10,860	2,927	0,863	10,860	0,322	2,680	10,860	0,447	2,719	10,860	0,867	2,777	10,860	1,250	2,724	10,860	0,834	2,748	10,860	0,769	2,740	10,860	0,954	2,770	10,860	0,627	2,708	10,860	1,335	2,825	10,860	1,013	2,782	5,430	0,622	1,368	10,860	0,726	2,731
			10,880	3,028	3,528	10,880	2,316	0,098	10,880	3,403	3,422	10,880	2,933	0,897	10,880	0,323	2,685	10,880	0,454	2,725	10,880	0,914	2,784	10,880	1,303	2,730	10,880	0,867	2,754	10,880	0,797	2,745	10,880	0,990	2,776	10,880	0,646	2,712	10,880	1,384	2,831	10,880	1,072	2,790	5,440	0,660	1,370	10,880	0,750	2,736
			10,900	3,034	3,573	10,900	2,321	0,090	10,900	3,409	3,455	10,900	2,939	0,933	10,900	0,326	2,691	10,900	0,469	2,730	10,900	0,948	2,789	10,900	1,359	2,735	10,900	0,898	2,759	10,900	0,826	2,751	10,900	1,027	2,781	10,900	0,669	2,718	10,900	1,427	2,836	10,900	1,085	2,792	5,450	0,643	1,373	10,900	0,778	2,741
			10,920	3,039	3,617	10,920	2,328	0,084	10,920	3,415	3,486	10,920	2,945	0,967	10,920	0,329	2,696	10,920	0,486	2,735	10,920	0,974	2,793	10,920	1,417	2,741	10,920	0,930	2,764	10,920	0,857	2,756	10,920	1,060	2,786	10,920	0,693	2,723	10,920	1,466	2,841	10,920	1,142	2,799	5,460	0,684	1,376	10,920	0,808	2,746
			10,940	3,045	3,662	10,940	2,333	0,077	10,940	3,421	3,519	10,940	2,951	1,004	10,940	0,333	2,701	10,940	0,505	2,741	10,940	1,005	2,797	10,940	1,476	2,746	10,940	0,965	2,770	10,940	0,889	2,761	10,940	1,100	2,791	10,940	0,717	2,728	10,940	1,502	2,846	10,940	1,148	2,801	5,470	0,669	1,379	10,940	0,843	2,753
			10,960	3,051	3,708	10,960	2,339	0,070	10,960	3,427	3,551	10,960	2,957	1,039	10,960	0,338	2,706	10,960	0,524	2,746	10,960	1,044	2,802	10,960	1,536	2,751	10,960	1,001	2,775	10,960	0,922	2,767	10,960	1,140	2,797	10,960	0,747	2,734	10,960	1,543	2,852	10,960	1,208	2,808	5,480	0,709	1,381	10,960	0,879	2,759
			10,980	3,057	3,758	10,980	2,345	0,063	10,980	3,432	3,582	10,980	2,963	1,073	10,980	0,345	2,711	10,980	0,545	2,751	10,980	1,093	2,808	10,980	1,600	2,757	10,980	1,036	2,780	10,980	0,955	2,772	10,980	1,180	2,802	10,980	0,774	2,738	10,980	1,577	2,857	10,980	1,248	2,813	5,490	0,693	1,384	10,980	0,906	2,764
			11,000	3,062	3,804	11,000	2,350	0,056	11,000	3,438	3,615	11,000	2,968	1,106	11,000	0,353	2,717	11,000	0,567	2,756	11,000	1,134	2,813	11,000	1,663	2,762	11,000	1,055	2,786	11,000	0,991	2,778	11,000	1,222	2,807	11,000	0,798	2,744	11,000	1,610	2,862	11,000	1,306	2,820	5,500	0,730	1,386	11,000	0,924	2,766
			11,020	3,068	3,843	11,020	2,357	0,059	11,020	3,443	3,646	11,020	2,975	1,139	11,020	0,362	2,722	11,020	0,590	2,762	11,020	1,174	2,818	11,020	1,729	2,767	11,020	1,044	2,791	11,020	1,028	2,782	11,020	1,264	2,812	11,020	0,828	2,749	11,020	1,638	2,867	11,020	1,327	2,823	5,510	0,713	1,389	11,020	0,956	2,771
			11,040	3,074	3,888	11,040	2,362	0,045	11,040	3,449	3,678	11,040	2,980	1,170	11,040	0,371	2,727	11,040	0,615	2,767	11,040	1,227	2,825	11,040	1,796	2,772	11,040	1,096	2,796	11,040	1,067	2,788	11,040	1,307	2,817	11,040	0,858	2,755	11,040	1,667	2,872	11,040	1,353	2,826	5,520	0,754	1,392	11,040	0,982	2,775
			11,060	3,079	3,933	11,060	2,368	0,038	11,060	3,455	3,710	11,060	2,986	1,222	11,060	0,382	2,733	11,060	0,640	2,773	11,060	1,277	2,831	11,060	1,864	2,778	11,060	1,158	2,802	11,060	1,104	2,793	11,060	1,351	2,823	11,060	0,889	2,760	11,060	1,691	2,877	11,060	1,404	2,832	5,530	0,738	1,395	11,060	1,022	2,781
			11,080	3,086	3,978	11,080	2,374	0,032	11,080	3,461	3,741	11,080	2,992	1,257	11,080	0,394	2,738	11,080	0,666	2,778	11,080	1,311	2,835	11,080	1,933	2,784	11,080	1,267	2,807	11,080	1,144	2,799	11,080	1,394	2,828	11,080	0,923	2,766	11,080	1,713	2,883	11,080	1,478	2,842	5,540	0,776	1,398	11,080	1,065	2,787
			11,100	3,092	4,024	11,100	2,380	0,026	11,100	3,466	3,783	11,100	2,998	1,264	11,100	0,408	2,743	11,100	0,693	2,783	11,100	1,342	2,839	11,100	2,000	2,789	11,100	1,563	2,812	11,100	1,185	2,804	11,100	1,436	2,833	11,100	0,957	2,771	11,100	1,732	2,888	11,100	1,514	2,847	5,550	0,757	1,399	11,100	1,102	2,792
			11,120	3,097	4,068	11,120	2,386	0,020	11,120	3,473	3,804	11,120	3,003	1,290	11,120	0,421	2,749	11,120	0,718	2,788	11,120	1,380	2,844	11,120	2,069	2,794	11,120	1,620	2,817	11,120	1,225	2,809	11,120	1,478	2,839	11,120	0,992	2,776	11,120	1,747	2,894	11,120	1,535	2,849	5,560	0,794	1,402	11,120	1,146	2,798
			11,140	3,103	4,114	11,140	2,392	0,015	11,140	3,478	3,833	11,140	3,009	1,319	11,140	0,437	2,754	11,140	0,749	2,793	11,140	1,435	2,851	11,140	2,136	2,799	11,140	1,473	2,822	11,140	1,267	2,814	11,140	1,519	2,843	11,140	1,029	2,781	11,140	1,753	2,899	11,140	1,572	2,855	5,570	0,776	1,405	11,140	1,192	2,804
			11,160	3,109	4,160	11,160	2,398	0,010	11,160	3,484	3,863	11,160	3,015	1,347	11,160	0,453	2,759	11,160	0,779	2,799	11,160	1,477	2,857	11,160	2,201	2,804	11,160	1,417	2,827	11,160	1,310	2,819	11,160	1,560	2,849	11,160	1,066	2,787	11,160	1,760	2,904	11,160	1,600	2,859	5,580	0,813	1,408	11,160	1,230	2,809
			11,180	3,115	4,205	11,180	2,403	0,004	11,180	3,489	3,891	11,180	3,021	1,376	11,180	0,471	2,765	11,180	0,811	2,804	11,180	1,523	2,864	11,180	2,253	2,810	11,180	1,453	2,832	11,180	1,352	2,824	11,180	1,598	2,855	11,180	1,108	2,792	11,180	1,763	2,910	11,180	1,621	2,863	5,590	0,793	1,409	11,180	1,267	2,813
			11,200	3,121	4,251	11,200	2,409	-1,770E-4	11,200	3,495	3,919	11,200	3,028	1,406	11,200	0,488	2,770	11,200	0,844	2,809	11,200	1,559	2,869	11,200	2,294	2,814	11,200	1,495	2,838	11,200	1,394	2,830	11,200	1,634	2,860	11,200	1,145	2,797	11,200	1,762	2,916	11,200	1,672	2,871	5,600	0,828	1,412	11,200	1,306	2,818
			11,220	3,126	4,298	11,220	2,415	-0,005	11,220	3,502	3,947	11,220	3,033	1,435	11,220	0,507	2,775	11,220	0,882	2,815	11,220	1,591	2,875	11,220	2,355	2,819	11,220	1,537	2,843	11,220	1,437	2,835	11,220	1,668	2,865	11,220	1,186	2,803	11,220	1,755	2,921	11,220	1,693	2,876	5,610	0,810	1,415	11,220	1,344	2,823
			11,240	3,131	4,343	11,240	2,421	-0,009	11,240	3,507	3,972	11,240	3,039	1,463	11,240	0,525	2,781	11,240	0,910	2,819	11,240	1,605	2,878	11,240	2,405	2,825	11,240	1,578	2,848	11,240	1,479	2,840	11,240	1,698	2,870	11,240	1,227	2,808	11,240	1,746	2,925	11,240	1,724	2,883	5,620	0,844	1,418	11,240	1,390	2,829
			11,260	3,137	4,389	11,260	2,427	-0,014	11,260	3,514	3,998	11,260	3,045	1,494	11,260	0,545	2,786	11,260	0,944	2,825	11,260	1,623	2,882	11,260	2,452	2,831	11,260	1,617	2,854	11,260	1,519	2,845	11,260	1,725	2,876	11,260	1,268	2,813	11,260	1,734	2,931	11,260	1,742	2,888	5,630	0,824	1,421	11,260	1,434	2,834
			11,280	3,143	4,436	11,280	2,433	-0,017	11,280	3,519	4,021	11,280	3,051	1,523	11,280	0,567	2,791	11,280	0,978	2,830	11,280	1,694	2,889	11,280	2,494	2,835	11,280	1,654	2,859	11,280	1,559	2,851	11,280	1,749	2,881	11,280	1,311	2,818	11,280	1,718	2,936	11,280	1,754	2,893	5,640	0,855	1,424	11,280	1,471	2,838
			11,300	3,149	4,482	11,300	2,439	-0,021	11,300	3,525	4,044	11,300	3,057	1,553	11,300	0,593	2,796	11,300	1,015	2,836	11,300	1,675	2,895	11,300	2,533	2,841	11,300	1,688	2,864	11,300	1,596	2,857	11,300	1,768	2,886	11,300	1,354	2,823	11,300	1,700	2,941	11,300	1,758	2,896	5,650	0,833	1,427	11,300	1,508	2,843
			11,320	3,155	4,528	11,320	2,445	-0,024	11,320	3,531	4,065	11,320	3,063	1,584	11,320	0,619	2,802	11,320	1,050	2,841	11,320	1,675	2,898	11,320	2,557	2,847	11,320	1,719	2,869	11,320	1,631	2,861	11,320	1,783	2,891	11,320	1,397	2,829	11,320	1,677	2,947	11,320	1,774	2,904	5,660	0,860	1,429	11,320	1,552	2,849
			11,340	3,161	4,574	11,340	2,450	-0,028	11,340	3,536	4,085	11,340	3,068	1,614	11,340	0,644	2,807	11,340	1,080	2,846	11,340	1,684	2,902	11,340	2,578	2,852	11,340	1,747	2,875	11,340	1,663	2,867	11,340	1,795	2,896	11,340	1,440	2,834	11,340	1,649	2,951	11,340	1,776	2,908	5,670	0,836	1,432	11,340	1,583	2,853
			11,360	3,166	4,666	11,360	2,456	-0,031	11,360	3,542	4,103	11,360	3,074	1,645	11,360	0,670	2,812	11,360	1,122	2,851	11,360	1,692	2,908	11,360	2,595	2,857	11,360	1,771	2,880	11,360	1,692	2,872	11,360	1,803	2,902	11,360	1,482	2,839	11,360	1,621	2,955	11,360	1,775	2,916	5,680	0,860	1,434	11,360	1,619	2,858
			11,380	3,172	4,672	11,380	2,462	-0,034	11,380	3,548	4,121	11,380	3,080	1,676	11,380	0,697	2,817	11,380	1,158	2,857	11,380	1,698	2,914	11,380	2,608	2,862	11,380	1,792	2,886	11,380	1,718	2,877	11,380	1,808	2,907	11,380	1,483	2,845	11,380	1,592	2,961	11,380	1,772	2,921	5,690	0,834	1,436	11,380	1,651	2,863
			11,400	3,178	4,713	11,400	2,468	-0,037	11,400	3,553	4,135	11,400	3,086	1,706	11,400	0,725	2,822	11,400	1,191	2,862	11,400	1,696	2,920	11,400	2,616	2,867	11,400	1,807	2,891	11,400	1,740	2,882	11,400	1,808	2,913	11,400	1,557	2,850	11,400	1,556	2,965	11,400	1,752	2,926	5,700	0,858	1,438	11,400	1,682	2,869
			11,420	3,184	4,760	11,420	2,474	-0,041	11,420	3,560	4,149	11,420	3,092	1,738	11,420	0,754	2,828	11,420	1,227	2,867	11,420	1,692	2,927	11,420	2,619	2,873	11,420	1,820	2,896	11,420	1,758	2,888	11,420	1,808	2,918	11,420	1,600	2,855	11,420	1,526	2,971	11,420	1,744	2,929	5,710	0,831	1,442	11,420	1,704	2,873
			11,440	3,190	4,807	11,440	2,479	-0,044	11,440	3,566	4,161	11,440	3,098	1,728	11,440	0,784	2,832	11,440	1,257	2,872	11,440	1,676	2,931	11,440	2,615	2,878	11,440	1,828	2,901	11,440	1,772	2,893	11,440	1,798	2,923	11,440	1,637	2,860	11,440	1,487	2,975	11,440	1,740	2,936	5,720	0,849	1,444	11,440	1,730	2,878
			11,460	3,196	4,853	11,460	2,485	-0,047	11,460	3,571	4,151	11,460	3,104	1,794	11,460	0,815	2,838	11,460	1,285	2,877	11,460	1,667	2,937	11,460	2,607	2,884	11,460	1,833	2,907	11,460	1,783	2,899	11,460	1,787	2,928	11,460	1,669	2,866	11,460	1,451	2,981	11,460	1,710	2,941	5,730	0,822	1,447	11,460	1,750	2,883
			11,480	3,202	4,899	11,480	2,491	-0,049	11,480	3,577	4,174	11,480	3,110	1,829	11,480	0,846	2,843	11,480	1,313	2,883	11,480	1,647	2,941	11,480	2,593	2,889	11,480	1,833	2,912	11,480	1,789	2,904	11,480	1,774	2,934	11,480	1,699	2,871	11,480	1,403	2,987	11,480	1,694	2,943	5,740	0,841	1,449	11,480	1,770	2,888
			11,500	3,207	4,945	11,500	2,497	-0,051	11,500	3,583	4,186	11,500	3,115	1,860	11,500	0,878	2,848	11,500	1,337	2,888	11,500	1,628	2,946	11,500	2,573	2,894	11,500	1,830	2,917	11,500	1,792	2,909	11,500	1,755	2,939	11,500	1,726	2,877	11,500	1,360	2,992	11,500	1,677	2,950	5,750	0,809	1,452	11,500	1,782	2,893
			11,520	3,213	4,992	11,520	2,503	-0,054	11,520	3,588	4,191	11,520	3,121	1,890	11,520	0,912	2,854	11,520	1,359	2,894	11,520	1,608	2,951	11,520	2,546	2,899	11,520	1,823	2,922	11,520	1,791	2,915	11,520	1,732	2,944	11,520	1,749	2,882	11,520	1,322	2,997	11,520	1,635	2,957	5,760	0,824	1,455	11,520	1,794	2,899
			11,540	3,219	5,039	11,540	2,509	-0,056	11,540	3,594	4,195	11,540	3,126	1,920	11,540	0,944	2,859	11,540	1,378	2,899	11,540	1,581	2,956	11,540	2,535	2,904	11,540	1,810	2,928	11,540	1,787	2,920	11,540	1,707	2,950	11,540	1,768	2,887	11,540	1,282	3,002	11,540	1,599	2,965	5,770	0,789	1,457	11,540	1,798	2,903
			11,560	3,225	5,085	11,560	2,514	-0,059	11,560	3,601	4,199	11,560	3,132	1,951	11,560	0,979	2,864	11,560	1,409	2,904	11,560	1,551	2,963	11,560	2,498	2,910	11,560	1,798	2,933	11,560	1,778	2,925	11,560	1,676	2,955	11,560	1,783	2,893	11,560	1,243	3,007	11,560	1,549	2,967	5,780	0,804	1,460	11,560	1,802	2,908
			11,580	3,231	5,132	11,580	2,520	-0,061	11,580	3,606	4,201	11,580	3,138	1,982	11,580	1,012	2,870	11,580	1,414	2,909	11,580	1,508	2,968	11,580	2,455	2,915	11,580	1,779	2,939	11,580	1,766	2,930	11,580	1,643	2,960	11,580	1,794	2,898	11,580	1,202	3,013	11,580	1,535	2,973	5,790	0,771	1,463	11,580	1,802	2,913
			11,600	3,237	5,179	11,600	2,525	-0,063	11,600	3,612	4,204	11,600	3,144	2,013	11,600	1,046	2,875	11,600	1,416	2,915	11,600	1,475	2,974	11,600	2,408	2,920	11,600	1,757	2,944	11,600	1,760	2,936	11,600	1,608	2,966	11,600	1,801	2,903	11,600	1,163	3,018	11,600	1,462	2,984	5,800	0,783	1,465	11,600	1,801	2,920
			11,620	3,242	5,225	11,620	2,532	-0,064	11,620	3,618	4,206	11,620	3,149	2,042	11,620	1,080	2,880	11,620	1,422	2,920	11,620	1,420	2,979	11,620	2,355	2,926	11,620	1,730	2,949	11,620	1,733	2,941	11,620	1,569	2,971	11,620	1,804	2,908	11,620	1,124	3,023	11,620	1,399	2,988	5,810	0,748	1,468	11,620	1,790	2,925
			11,640	3,248	5,271	11,640	2,538	-0,066	11,640	3,624	4,209	11,640	3,155	2,072	11,640	1,113	2,885	11,640	1,424	2,926	11,640	1,384	2,985	11,640	2,298	2,931	11,640	1,700	2,954	11,640	1,707	2,946	11,640	1,529	2,976	11,640	1,804	2,913	11,640	1,083	3,029	11,640	1,380	2,991	5,820	0,759	1,470	11,640	1,777	2,930
			11,660	3,253	5,317	11,660	2,543	-0,068	11,660	3,629	4,211	11,660	3,161	2,102	11,660	1,145	2,891	11,660	1,424	2,931	11,660	1,352	2,989	11,660	2,239	2,936	11,660	1,667	2,960	11,660	1,679	2,952	11,660	1,487	2,981	11,660	1,800	2,919	11,660	1,041	3,033	11,660	1,334	2,996	5,830	0,727	1,473	11,660	1,763	2,934
			11,680	3,260	5,364	11,680	2,549	-0,070	11,680	3,635	4,213	11,680	3,168	2,133	11,680	1,175	2,896	11,680	1,424	2,936	11,680	1,316	2,994	11,680	2,178	2,942	11,680	1,630	2,965	11,680	1,648	2,957	11,680	1,446	2,986	11,680	1,792	2,924	11,680	1,011	3,038	11,680	1,316	2,998	5,840	0,735	1,475	11,680	1,749	2,940
			11,700	3,265	5,410	11,700	2,555	-0,071	11,700	3,641	4,215	11,700	3,173	2,164	11,700	1,207	2,902	11,700	1,415	2,941	11,700	1,274	3,000	11,700	2,116	2,947	11,700	1,592	2,970	11,700	1,612	2,962	11,700	1,406	2,992	11,700	1,781	2,929	11,700	0,976	3,043	11,700	1,290	3,004	5,850	0,701	1,479	11,700	1,724	2,946
