Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9
34,900	-8,246E-4	0,783	34,900	-0,076	0,769	34,900	6,905	0,995				34,900	2,534	0,004	34,900	6,168	0,081	34,900	-2,712	0,065	34,900	4,916	-0,868	34,900	1,066	-0,532
34,950	-3,204E-4	0,784	34,950	-0,085	0,767	34,950	6,896	0,996				34,950	2,534	0,004	34,950	6,168	0,081	34,950	-2,712	0,064	34,950	4,917	-0,867	34,950	1,066	-0,534
35,000	-4,865E-4	0,783	35,000	-0,092	0,766	35,000	6,854	0,995				35,000	2,534	0,004	35,000	6,143	0,081	35,000	-2,712	0,065	35,000	4,916	-0,868	35,000	1,066	-0,536
35,050	-8,850E-5	0,784	35,050	-0,096	0,764	35,050	6,805	0,995				35,050	2,534	0,005	35,050	6,098	0,082	35,050	-2,723	0,064	35,050	4,917	-0,867	35,050	1,066	-0,538
35,100	-2,277E-4	0,783	35,100	-0,102	0,763	35,100	6,783	0,994				35,100	2,534	0,004	35,100	6,046	0,081	35,100	-2,838	0,065	35,100	4,944	-0,868	35,100	1,065	-0,541
35,150	-4,449E-4	0,784	35,150	-0,106	0,762	35,150	6,772	0,995				35,150	2,535	0,005	35,150	5,982	0,081	35,150	-2,974	0,064	35,150	5,030	-0,867	35,150	1,065	-0,542
35,200	-6,256E-4	0,783	35,200	-0,114	0,760	35,200	6,738	0,994				35,200	2,534	0,004	35,200	5,908	0,081	35,200	-3,053	0,064	35,200	5,069	-0,868	35,200	1,065	-0,545
35,250	-4,608E-4	0,784	35,250	-0,120	0,758	35,250	6,682	0,994				35,250	2,505	0,005	35,250	5,820	0,081	35,250	-3,116	0,063	35,250	5,097	-0,867	35,250	1,065	-0,546
35,300	-3,644E-4	0,783	35,300	-0,126	0,757	35,300	6,622	0,993				35,300	2,426	0,004	35,300	5,808	0,081	35,300	-3,216	0,063	35,300	5,135	-0,868	35,300	1,065	-0,549
35,350	-5,316E-4	0,783	35,350	-0,130	0,755	35,350	6,547	0,993				35,350	2,363	0,005	35,350	5,808	0,081	35,350	-3,282	0,063	35,350	5,139	-0,868	35,350	1,065	-0,550
35,400	-5,487E-4	0,783	35,400	-0,134	0,754	35,400	6,461	0,992				35,400	2,306	0,004	35,400	5,808	0,081	35,400	-3,287	0,063	35,400	5,140	-0,868	35,400	1,064	-0,553
35,450	-1,910E-4	0,784	35,450	-0,137	0,753	35,450	6,405	0,992				35,450	2,268	0,005	35,450	5,808	0,081	35,450	-3,286	0,063	35,450	5,140	-0,867	35,450	1,064	-0,554
35,500	0,002	0,783	35,500	-0,141	0,752	35,500	6,305	0,991				35,500	2,248	0,004	35,500	5,808	0,081	35,500	-3,286	0,063	35,500	5,140	-0,868	35,500	1,064	-0,557
35,550	0,003	0,784	35,550	-0,144	0,751	35,550	6,289	0,991				35,550	2,241	0,004	35,550	5,808	0,081	35,550	-3,286	0,063	35,550	5,140	-0,867	35,550	1,064	-0,559
35,600	0,003	0,783	35,600	-0,147	0,750	35,600	6,289	0,990				35,600	2,228	0,004	35,600	5,808	0,081	35,600	-3,286	0,064	35,600	5,140	-0,868	35,600	1,065	-0,561
35,650	0,003	0,783	35,650	-0,150	0,748	35,650	6,289	0,991				35,650	2,204	0,004	35,650	5,788	0,080	35,650	-3,294	0,063	35,650	5,173	-0,867	35,650	1,064	-0,563
35,700	0,004	0,783	35,700	-0,152	0,748	35,700	6,289	0,990				35,700	2,170	0,004	35,700	5,746	0,081	35,700	-3,410	0,063	35,700	5,232	-0,868	35,700	1,065	-0,565
35,750	0,004	0,783	35,750	-0,154	0,747	35,750	6,289	0,991				35,750	2,164	0,005	35,750	5,696	0,080	35,750	-3,522	0,062	35,750	5,250	-0,868	35,750	1,065	-0,567
35,800	0,004	0,783	35,800	-0,160	0,746	35,800	6,285	0,990				35,800	2,164	0,004	35,800	5,637	0,080	35,800	-3,596	0,062	35,800	5,294	-0,868	35,800	1,064	-0,570
35,850	0,003	0,783	35,850	-0,163	0,745	35,850	6,234	0,990				35,850	2,164	0,004	35,850	5,540	0,080	35,850	-3,635	0,062	35,850	5,323	-0,867	35,850	1,064	-0,571
35,900	0,004	0,783	35,900	-0,165	0,744	35,900	6,182	0,990				35,900	2,163	0,004	35,900	5,485	0,080	35,900	-3,698	0,062	35,900	5,330	-0,868	35,900	1,064	-0,574
35,950	0,004	0,784	35,950	-0,167	0,743	35,950	6,077	0,990				35,950	2,163	0,005	35,950	5,472	0,079	35,950	-3,715	0,062	35,950	5,330	-0,867	35,950	1,063	-0,575
36,000	0,003	0,783	36,000	-0,169	0,742	36,000	5,982	0,988				36,000	2,143	0,004	36,000	5,473	0,080	36,000	-3,715	0,062	36,000	5,330	-0,868	36,000	1,064	-0,578
36,050	0,003	0,784	36,050	-0,171	0,741	36,050	5,895	0,988				36,050	2,005	0,005	36,050	5,472	0,080	36,050	-3,716	0,062	36,050	5,330	-0,867	36,050	1,064	-0,579
36,100	0,003	0,783	36,100	-0,174	0,740	36,100	5,843	0,987				36,100	1,948	0,004	36,100	5,473	0,080	36,100	-3,715	0,062	36,100	5,330	-0,868	36,100	1,063	-0,582
36,150	0,003	0,783	36,150	-0,178	0,739	36,150	5,758	0,987				36,150	1,852	0,005	36,150	5,472	0,080	36,150	-3,715	0,062	36,150	5,330	-0,867	36,150	1,063	-0,584
36,200	0,003	0,783	36,200	-0,184	0,738	36,200	5,734	0,986				36,200	1,778	0,004	36,200	5,473	0,080	36,200	-3,715	0,062	36,200	5,331	-0,868	36,200	1,063	-0,587
36,250	0,003	0,783	36,250	-0,188	0,735	36,250	5,734	0,987				36,250	1,760	0,005	36,250	5,472	0,080	36,250	-3,716	0,062	36,250	5,394	-0,867	36,250	1,064	-0,588
36,300	0,003	0,783	36,300	-0,190	0,734	36,300	5,734	0,986				36,300	1,756	0,004	36,300	5,451	0,080	36,300	-3,716	0,062	36,300	5,475	-0,868	36,300	1,064	-0,591
36,350	0,004	0,784	36,350	-0,193	0,733	36,350	5,734	0,987				36,350	1,757	0,005	36,350	5,368	0,079	36,350	-3,790	0,062	36,350	5,551	-0,867	36,350	1,064	-0,592
36,400	0,004	0,783	36,400	-0,195	0,731	36,400	5,734	0,986				36,400	1,757	0,004	36,400	5,280	0,080	36,400	-3,864	0,062	36,400	5,666	-0,868	36,400	1,064	-0,595
36,450	0,004	0,784	36,450	-0,198	0,730	36,450	5,733	0,986				36,450	1,758	0,005	36,450	5,214	0,079	36,450	-3,971	0,061	36,450	5,682	-0,868	36,450	1,065	-0,596
36,500	0,004	0,783	36,500	-0,202	0,728	36,500	5,707	0,985				36,500	1,758	0,004	36,500	5,146	0,079	36,500	-4,097	0,061	36,500	5,682	-0,868	36,500	1,066	-0,599
36,550	0,003	0,783	36,550	-0,206	0,726	36,550	5,574	0,985				36,550	1,759	0,005	36,550	5,083	0,078	36,550	-4,130	0,061	36,550	5,682	-0,867	36,550	1,067	-0,600
36,600	0,003	0,783	36,600	-0,209	0,724	36,600	5,477	0,984				36,600	1,759	0,004	36,600	5,006	0,079	36,600	-4,131	0,061	36,600	5,683	-0,868	36,600	1,067	-0,603
36,650	0,004	0,784	36,650	-0,210	0,723	36,650	5,411	0,984				36,650	1,755	0,004	36,650	4,989	0,078	36,650	-4,131	0,061	36,650	5,682	-0,867	36,650	1,067	-0,604
36,700	0,003	0,783	36,700	-0,212	0,720	36,700	5,328	0,982				36,700	1,723	0,004	36,700	4,990	0,079	36,700	-4,131	0,061	36,700	5,683	-0,868	36,700	1,067	-0,607
36,750	0,003	0,783	36,750	-0,214	0,719	36,750	5,278	0,982				36,750	1,696	0,005	36,750	4,990	0,079	36,750	-4,131	0,061	36,750	5,683	-0,867	36,750	1,068	-0,608
36,800	0,003	0,783	36,800	-0,217	0,717	36,800	5,218	0,981				36,800	1,657	0,004	36,800	4,990	0,079	36,800	-4,132	0,061	36,800	5,691	-0,868	36,800	1,068	-0,611
36,850	0,003	0,784	36,850	-0,219	0,715	36,850	5,213	0,982				36,850	1,575	0,005	36,850	4,989	0,078	36,850	-4,137	0,061	36,850	5,725	-0,867	36,850	1,068	-0,612
36,900	0,003	0,783	36,900	-0,222	0,713	36,900	5,213	0,981				36,900	1,508	0,004	36,900	4,990	0,079	36,900	-4,203	0,061	36,900	5,748	-0,868	36,900	1,068	-0,615
36,950	-0,014	0,783	36,950	-0,226	0,710	36,950	5,213	0,982				36,950	1,458	0,005	36,950	4,989	0,078	36,950	-4,235	0,061	36,950	5,765	-0,867	36,950	1,069	-0,615
37,000	-0,056	0,778	37,000	-0,228	0,707	37,000	5,213	0,981				37,000	1,378	0,004	37,000	4,980	0,079	37,000	-4,277	0,061	37,000	5,787	-0,868	37,000	1,069	-0,618
37,050	-0,106	0,769	37,050	-0,230	0,704	37,050	5,213	0,982				37,050	1,312	0,005	37,050	4,949	0,078	37,050	-4,433	0,060	37,050	5,802	-0,867	37,050	1,069	-0,619
37,100	-0,154	0,756	37,100	-0,233	0,700	37,100	5,213	0,981				37,100	1,307	0,004	37,100	4,887	0,079	37,100	-4,468	0,060	37,100	5,839	-0,868	37,100	1,069	-0,622
37,150	-0,199	0,743	37,150	-0,234	0,696	37,150	5,210	0,982				37,150	1,308	0,005	37,150	4,834	0,078	37,150	-4,501	0,060	37,150	5,844	-0,868	37,150	1,069	-0,623
37,200	-0,240	0,723	37,200	-0,235	0,692	37,200	5,141	0,980				37,200	1,307	0,004	37,200	4,762	0,078	37,200	-4,526	0,060	37,200	5,845	-0,868	37,200	1,070	-0,625
37,250	-0,257	0,702	37,250	-0,235	0,688	37,250	5,002	0,979				37,250	1,308	0,005	37,250	4,744	0,078	37,250	-4,526	0,060	37,250	5,844	-0,868	37,250	1,071	-0,627
37,300	-0,261	0,680	37,300	-0,236	0,684	37,300	4,899	0,978				37,300	1,307	0,004	37,300	4,740	0,078	37,300	-4,526	0,060	37,300	5,845	-0,868	37,300	1,071	-0,629
37,350	-0,262	0,661	37,350	-0,237	0,679	37,350	4,821	0,978				37,350	1,309	0,004	37,350	4,737	0,078	37,350	-4,526	0,060	37,350	5,843	-0,867	37,350	1,071	-0,630
37,400	-0,265	0,639	37,400	-0,239	0,675	37,400	4,752	0,976				37,400	1,287	0,004	37,400	4,733	0,078	37,400	-4,526	0,060	37,400	5,844	-0,868	37,400	1,071	-0,633
37,450	-0,269	0,619	37,450	-0,240	0,671	37,450	4,721	0,976				37,450	1,154	0,005	37,450	4,731	0,078	37,450	-4,530	0,060	37,450	5,868	-0,868	37,450	1,071	-0,634
37,500	-0,278	0,595	37,500	-0,240	0,666	37,500	4,722	0,975				37,500	1,050	0,004	37,500	4,730	0,078	37,500	-4,599	0,060	37,500	5,977	-0,868	37,500	1,071	-0,636
37,550	-0,289	0,566	37,550	-0,240	0,662	37,550	4,724	0,976				37,550	0,999	0,005	37,550	4,730	0,078	37,550	-4,684	0,059	37,550	6,047	-0,868	37,550	1,072	-0,637
37,600	-0,302	0,532	37,600	-0,241	0,657	37,600	4,724	0,976				37,600	0,935	0,004	37,600	4,732	0,078	37,600	-4,766	0,059	37,600	6,066	-0,868	37,600	1,071	-0,640
37,650	-0,314	0,498	37,650	-0,241	0,653	37,650	4,724	0,976				37,650	0,917	0,005	37,650	4,734	0,078	37,650	-4,869	0,059	37,650	6,095	-0,868	37,650	1,072	-0,640
37,700	-0,329	0,464	37,700	-0,241	0,648	37,700	4,725	0,976				37,700	0,881	0,004	37,700	4,723	0,079	37,700	-4,936	0,059	37,700	6,102	-0,868	37,700	1,072	-0,643
37,750	-0,350	0,432	37,750	-0,242	0,644	37,750	4,715	0,977				37,750	0,868	0,005	37,750	4,663	0,078	37,750	-4,943	0,059	37,750	6,101	-0,868	37,750	1,072	-0,644
37,800	-0,381	0,401	37,800	-0,242	0,639	37,800	4,614	0,974				37,800	0,868	0,004	37,800	4,602	0,078	37,800	-4,943	0,059	37,800	6,101	-0,868	37,800	1,072	-0,646
37,850	-0,420	0,373	37,850	-0,243	0,635	37,850	4,557	0,975				37,850	0,869	0,005	37,850	4,537	0,078	37,850	-4,943	0,059	37,850	6,101	-0,867	37,850	1,071	-0,648
37,900	-0,463	0,346	37,900	-0,242	0,630	37,900	4,519	0,973				37,900	0,869	0,004	37,900	4,493	0,078	37,900	-4,943	0,059	37,900	6,101	-0,868	37,900	1,071	-0,650
37,950	-0,509	0,324	37,950	-0,243	0,627	37,950	4,504	0,974				37,950	0,869	0,005	37,950	4,428	0,077	37,950	-4,943	0,059	37,950	6,102	-0,867	37,950	1,071	-0,651
38,000	-0,568	0,300	38,000	-0,244	0,622	38,000	4,460	0,973				38,000	0,872	0,004	38,000	4,420	0,078	38,000	-4,944	0,059	38,000	6,110	-0,868	38,000	1,072	-0,654
38,050	-0,646	0,276	38,050	-0,243	0,619	38,050	4,385	0,973				38,050	0,861	0,005	38,050	4,420	0,078	38,050	-5,018	0,059	38,050	6,157	-0,868	38,050	1,072	-0,655
38,100	-0,762	0,248	38,100	-0,244	0,614	38,100	4,326	0,971				38,100	0,802	0,004	38,100	4,420	0,078	38,100	-5,144	0,059	38,100	6,222	-0,869	38,100	1,072	-0,657
38,150	-0,894	0,224	38,150	-0,244	0,611	38,150	4,258	0,971				38,150	0,730	0,005	38,150	4,420	0,077	38,150	-5,188	0,058	38,150	6,275	-0,868	38,150	1,072	-0,658
38,200	-1,004	0,206	38,200	-0,245	0,606	38,200	4,248	0,970				38,200	0,669	0,004	38,200	4,423	0,078	38,200	-5,264	0,058	38,200	6,328	-0,869	38,200	1,072	-0,661
38,250	-1,083	0,196	38,250	-0,245	0,603	38,250	4,249	0,971				38,250	0,575	0,004	38,250	4,422	0,077	38,250	-5,355	0,058	38,250	6,386	-0,868	38,250	1,074	-0,661
38,300	-1,135	0,189	38,300	-0,246	0,598	38,300	4,247	0,970				38,300	0,551	0,004	38,300	4,408	0,078	38,300	-5,421	0,058	38,300	6,394	-0,868	38,300	1,075	-0,664
38,350	-1,166	0,186	38,350	-0,246	0,595	38,350	4,246	0,971				38,350	0,549	0,004	38,350	4,343	0,078	38,350	-5,422	0,058	38,350	6,393	-0,868	38,350	1,075	-0,665
38,400	-1,183	0,183	38,400	-0,247	0,591	38,400	4,246	0,970				38,400	0,549	0,004	38,400	4,288	0,078	38,400	-5,422	0,058	38,400	6,394	-0,868	38,400	1,076	-0,667
38,450	-1,193	0,183	38,450	-0,247	0,587	38,450	4,235	0,971				38,450	0,549	0,004	38,450	4,230	0,077	38,450	-5,422	0,058	38,450	6,393	-0,868	38,450	1,077	-0,668
38,500	-1,199	0,181	38,500	-0,248	0,583	38,500	4,158	0,969				38,500	0,549	0,004	38,500	4,152	0,077	38,500	-5,422	0,058	38,500	6,393	-0,869	38,500	1,077	-0,670
38,550	-1,203	0,181	38,550	-0,249	0,579	38,550	4,028	0,968				38,550	0,549	0,005	38,550	4,100	0,076	38,550	-5,422	0,057	38,550	6,394	-0,868	38,550	1,077	-0,671
38,600	-1,212	0,180	38,600	-0,249	0,576	38,600	3,936	0,966				38,600	0,549	0,004	38,600	4,035	0,077	38,600	-5,428	0,058	38,600	6,423	-0,869	38,600	1,077	-0,673
38,650	-1,232	0,179	38,650	-0,250	0,572	38,650	3,850	0,966				38,650	0,545	0,005	38,650	4,006	0,076	38,650	-5,532	0,057	38,650	6,491	-0,868	38,650	1,077	-0,674
38,700	-1,267	0,175	38,700	-0,250	0,568	38,700	3,784	0,964				38,700	0,516	0,004	38,700	4,006	0,077	38,700	-5,603	0,057	38,700	6,569	-0,869	38,700	1,078	-0,676
38,750	-1,300	0,172	38,750	-0,251	0,565	38,750	3,713	0,963				38,750	0,456	0,004	38,750	4,006	0,076	38,750	-5,643	0,057	38,750	6,597	-0,868	38,750	1,077	-0,677
38,800	-1,321	0,170	38,800	-0,251	0,561	38,800	3,692	0,962				38,800	0,434	0,004	38,800	4,005	0,077	38,800	-5,711	0,057	38,800	6,629	-0,869	38,800	1,078	-0,679
38,850	-1,331	0,170	38,850	-0,252	0,558	38,850	3,690	0,963				38,850	0,398	0,004	38,850	4,005	0,076	38,850	-5,770	0,057	38,850	6,638	-0,868	38,850	1,078	-0,679
38,900	-1,336	0,168	38,900	-0,253	0,554	38,900	3,690	0,962				38,900	0,331	0,004	38,900	4,005	0,077	38,900	-5,783	0,057	38,900	6,637	-0,868	38,900	1,078	-0,682
38,950	-1,339	0,168	38,950	-0,253	0,551	38,950	3,690	0,963				38,950	0,304	0,004	38,950	4,006	0,077	38,950	-5,785	0,057	38,950	6,637	-0,868	38,950	1,078	-0,682
39,000	-1,341	0,168	39,000	-0,254	0,547	39,000	3,690	0,962				39,000	0,291	0,004	39,000	4,006	0,077	39,000	-5,785	0,057	39,000	6,637	-0,869	39,000	1,078	-0,685
39,050	-1,346	0,168	39,050	-0,255	0,544	39,050	3,688	0,963				39,050	0,290	0,005	39,050	4,004	0,077	39,050	-5,785	0,057	39,050	6,637	-0,868	39,050	1,079	-0,685
39,100	-1,376	0,165	39,100	-0,255	0,541	39,100	3,588	0,961				39,100	0,290	0,004	39,100	3,961	0,077	39,100	-5,785	0,057	39,100	6,637	-0,869	39,100	1,079	-0,688
39,150	-1,420	0,162	39,150	-0,256	0,537	39,150	3,421	0,958				39,150	0,290	0,005	39,150	3,860	0,076	39,150	-5,785	0,057	39,150	6,653	-0,868	39,150	1,079	-0,688
39,200	-1,465	0,158	39,200	-0,257	0,534	39,200	3,343	0,957				39,200	0,290	0,004	39,200	3,779	0,076	39,200	-5,801	0,057	39,200	6,698	-0,869	39,200	1,079	-0,691
39,250	-1,532	0,153	39,250	-0,258	0,531	39,250	3,287	0,956				39,250	0,291	0,004	39,250	3,712	0,076	39,250	-5,929	0,056	39,250	6,757	-0,868	39,250	1,080	-0,691
39,300	-1,573	0,149	39,300	-0,259	0,528	39,300	3,274	0,955				39,300	0,294	0,004	39,300	3,694	0,076	39,300	-6,030	0,056	39,300	6,829	-0,869	39,300	1,080	-0,693
39,350	-1,592	0,148	39,350	-0,259	0,525	39,350	3,273	0,956				39,350	0,279	0,004	39,350	3,694	0,076	39,350	-6,083	0,056	39,350	6,867	-0,868	39,350	1,081	-0,693
39,400	-1,599	0,147	39,400	-0,260	0,522	39,400	3,272	0,955				39,400	0,220	0,004	39,400	3,694	0,076	39,400	-6,124	0,056	39,400	6,879	-0,869	39,400	1,081	-0,696
39,450	-1,604	0,147	39,450	-0,261	0,519	39,450	3,272	0,956				39,450	0,155	0,005	39,450	3,693	0,076	39,450	-6,123	0,056	39,450	6,880	-0,868	39,450	1,081	-0,696
39,500	-1,609	0,146	39,500	-0,261	0,516	39,500	3,272	0,955				39,500	0,104	0,004	39,500	3,694	0,077	39,500	-6,123	0,056	39,500	6,880	-0,869	39,500	1,081	-0,698
39,550	-1,612	0,146	39,550	-0,262	0,513	39,550	3,272	0,956				39,550	0,080	0,004	39,550	3,694	0,076	39,550	-6,123	0,056	39,550	6,880	-0,868	39,550	1,082	-0,699
39,600	-1,633	0,145	39,600	-0,263	0,510	39,600	3,273	0,955				39,600	0,053	0,004	39,600	3,694	0,076	39,600	-6,123	0,056	39,600	6,880	-0,869	39,600	1,082	-0,701
39,650	-1,668	0,143	39,650	-0,264	0,508	39,650	3,254	0,956				39,650	0,015	0,005	39,650	3,693	0,076	39,650	-6,124	0,056	39,650	6,881	-0,868	39,650	1,082	-0,701
39,700	-1,736	0,138	39,700	-0,265	0,505	39,700	3,182	0,953				39,700	0,005	0,004	39,700	3,656	0,076	39,700	-6,123	0,056	39,700	6,891	-0,869	39,700	1,083	-0,704
39,750	-1,836	0,132	39,750	-0,266	0,502	39,750	3,108	0,953				39,750	0,004	0,004	39,750	3,596	0,076	39,750	-6,125	0,056	39,750	6,928	-0,868	39,750	1,084	-0,704
39,800	-1,892	0,128	39,800	-0,266	0,500	39,800	3,034	0,951				39,800	0,003	0,004	39,800	3,541	0,076	39,800	-6,179	0,056	39,800	6,960	-0,869	39,800	1,088	-0,706
39,850	-1,916	0,127	39,850	-0,267	0,497	39,850	2,930	0,949				39,850	0,003	0,005	39,850	3,477	0,075	39,850	-6,234	0,056	39,850	6,976	-0,868	39,850	1,084	-0,707
39,900	-1,924	0,125	39,900	-0,269	0,494	39,900	2,881	0,947				39,900	0,003	0,004	39,900	3,413	0,076	39,900	-6,293	0,056	39,900	6,984	-0,869	39,900	1,089	-0,709
39,950	-1,928	0,126	39,950	-0,269	0,492	39,950	2,871	0,948				39,950	0,003	0,004	39,950	3,373	0,075	39,950	-6,467	0,055	39,950	6,988	-0,868	39,950	1,083	-0,709
40,000	-1,929	0,125	40,000	-0,271	0,490	40,000	2,869	0,947				40,000	0,003	0,004	40,000	3,338	0,075	40,000	-6,557	0,055	40,000	6,990	-0,869	40,000	1,082	-0,711
40,050	-1,931	0,125	40,050	-0,272	0,487	40,050	2,868	0,947				40,050	0,003	0,005	40,050	3,336	0,075	40,050	-6,568	0,055	40,050	6,991	-0,868	40,050	1,081	-0,712
40,100	-1,967	0,123	40,100	-0,272	0,485	40,100	2,868	0,947				40,100	0,003	0,004	40,100	3,336	0,076	40,100	-6,572	0,055	40,100	6,992	-0,869	40,100	1,083	-0,714
40,150	-2,051	0,120	40,150	-0,273	0,483	40,150	2,868	0,947				40,150	0,002	0,005	40,150	3,336	0,075	40,150	-6,572	0,055	40,150	6,992	-0,868	40,150	1,082	-0,714
40,200	-2,134	0,114	40,200	-0,275	0,480	40,200	2,860	0,947				40,200	8,966E-4	0,004	40,200	3,337	0,076	40,200	-6,572	0,055	40,200	6,993	-0,869	40,200	1,082	-0,717
40,250	-2,189	0,112	40,250	-0,276	0,479	40,250	2,817	0,947				40,250	5,920E-5	0,005	40,250	3,336	0,075	40,250	-6,572	0,055	40,250	6,993	-0,868	40,250	1,094	-0,717
40,300	-2,221	0,110	40,300	-0,277	0,477	40,300	2,791	0,945				40,300	-7,184E-4	0,004	40,300	3,337	0,076	40,300	-6,574	0,055	40,300	6,994	-0,868	40,300	1,099	-0,719
40,350	-2,230	0,109	40,350	-0,278	0,475	40,350	2,772	0,945				40,350	-5,951E-4	0,005	40,350	3,330	0,075	40,350	-6,621	0,055	40,350	6,993	-0,868	40,350	1,100	-0,720
40,400	-2,234	0,109	40,400	-0,279	0,473	40,400	2,742	0,944				40,400	-4,926E-4	0,004	40,400	3,274	0,076	40,400	-6,685	0,055	40,400	6,994	-0,869	40,400	1,100	-0,722
40,450	-2,235	0,109	40,450	-0,280	0,472	40,450	2,701	0,944				40,450	0,004	0,005	40,450	3,208	0,075	40,450	-6,713	0,055	40,450	6,993	-0,868	40,450	1,102	-0,723
40,500	-2,235	0,108	40,500	-0,281	0,470	40,500	2,629	0,942				40,500	0,004	0,004	40,500	3,162	0,075	40,500	-6,736	0,055	40,500	6,993	-0,868	40,500	1,108	-0,725
40,550	-2,249	0,108	40,550	-0,282	0,468	40,550	2,544	0,940				40,550	0,004	0,004	40,550	3,113	0,074	40,550	-6,765	0,055	40,550	6,935	-0,868	40,550	1,110	-0,726
40,600	-2,305	0,106	40,600	-0,283	0,467	40,600	2,517	0,938				40,600	0,004	0,004	40,600	3,043	0,075	40,600	-6,809	0,054	40,600	6,863	-0,869	40,600	1,111	-0,729
40,650	-2,398	0,102	40,650	-0,284	0,465	40,650	2,514	0,939				40,650	0,002	0,004	40,650	2,974	0,074	40,650	-6,815	0,055	40,650	6,779	-0,868	40,650	1,111	-0,729
40,700	-2,504	0,097	40,700	-0,285	0,464	40,700	2,513	0,938				40,700	-0,018	0,004	40,700	2,966	0,075	40,700	-6,815	0,055	40,700	6,768	-0,869	40,700	1,110	-0,732
40,750	-2,579	0,094	40,750	-0,286	0,463	40,750	2,513	0,939				40,750	-0,037	0,005	40,750	2,966	0,074	40,750	-6,815	0,054	40,750	6,768	-0,868	40,750	1,109	-0,733
40,800	-2,599	0,092	40,800	-0,287	0,461	40,800	2,512	0,938				40,800	-0,068	0,004	40,800	2,966	0,075	40,800	-6,815	0,055	40,800	6,768	-0,869	40,800	1,112	-0,735
40,850	-2,603	0,092	40,850	-0,287	0,460	40,850	2,512	0,939				40,850	-0,105	0,005	40,850	2,966	0,074	40,850	-6,815	0,054	40,850	6,768	-0,868	40,850	1,117	-0,737
40,900	-2,605	0,092	40,900	-0,288	0,459	40,900	2,476	0,938				40,900	-0,110	0,004	40,900	2,966	0,075	40,900	-6,815	0,054	40,900	6,768	-0,868	40,900	1,119	-0,740
40,950	-2,605	0,092	40,950	-0,289	0,458	40,950	2,377	0,936				40,950	-0,141	0,005	40,950	2,965	0,074	40,950	-6,831	0,055	40,950	6,768	-0,868	40,950	1,119	-0,741
41,000	-2,616	0,091	41,000	-0,290	0,456	41,000	2,298	0,933				41,000	-0,182	0,004	41,000	2,949	0,075	41,000	-6,909	0,055	41,000	6,768	-0,869	41,000	1,117	-0,744
41,050	-2,670	0,090	41,050	-0,291	0,456	41,050	2,181	0,930				41,050	-0,247	0,005	41,050	2,875	0,074	41,050	-6,960	0,054	41,050	6,727	-0,868	41,050	1,118	-0,745
41,100	-2,757	0,086	41,100	-0,294	0,454	41,100	2,049	0,925				41,100	-0,307	0,004	41,100	2,803	0,075	41,100	-6,985	0,054	41,100	6,648	-0,868	41,100	1,118	-0,748
41,150	-2,835	0,083	41,150	-0,301	0,452	41,150	2,005	0,924				41,150	-0,348	0,005	41,150	2,737	0,074	41,150	-6,996	0,055	41,150	6,592	-0,868	41,150	1,125	-0,749
41,200	-2,886	0,081	41,200	-0,307	0,447	41,200	1,997	0,923				41,200	-0,419	0,004	41,200	2,686	0,074	41,200	-7,003	0,054	41,200	6,558	-0,869	41,200	1,131	-0,751
41,250	-2,903	0,080	41,250	-0,311	0,444	41,250	1,995	0,923				41,250	-0,460	0,005	41,250	2,624	0,074	41,250	-7,005	0,055	41,250	6,536	-0,868	41,250	1,132	-0,753
41,300	-2,907	0,080	41,300	-0,315	0,439	41,300	1,994	0,922				41,300	-0,474	0,004	41,300	2,591	0,074	41,300	-7,008	0,054	41,300	6,537	-0,868	41,300	1,133	-0,756
41,350	-2,908	0,080	41,350	-0,319	0,436	41,350	1,994	0,923				41,350	-0,474	0,005	41,350	2,590	0,073	41,350	-7,008	0,054	41,350	6,536	-0,868	41,350	1,135	-0,758
41,400	-2,909	0,080	41,400	-0,323	0,431	41,400	1,994	0,922				41,400	-0,474	0,004	41,400	2,590	0,074	41,400	-7,009	0,054	41,400	6,536	-0,868	41,400	1,135	-0,761
41,450	-2,909	0,080	41,450	-0,329	0,427	41,450	1,993	0,923				41,450	-0,474	0,005	41,450	2,590	0,074	41,450	-7,009	0,055	41,450	6,536	-0,868	41,450	1,135	-0,763
41,500	-2,929	0,079	41,500	-0,334	0,423	41,500	1,970	0,922				41,500	-0,474	0,004	41,500	2,590	0,074	41,500	-7,010	0,054	41,500	6,537	-0,868	41,500	1,136	-0,767
