Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13
12,400	3,255	0,882	12,400	3,468	1,062	12,400	3,480	1,386	12,400	3,569	1,166	12,400	3,555	5,710	12,400	3,552	4,214	12,400	3,541	4,467	12,400	3,585	2,859	12,400	3,539	2,824	12,400	3,487	2,366	12,400	3,486	1,398	12,400	3,506	3,856	12,400	3,530	3,896
12,420	3,261	0,892	12,420	3,474	1,072	12,420	3,487	1,395	12,420	3,575	1,171	12,420	3,560	5,729	12,420	3,557	4,231	12,420	3,547	4,485	12,420	3,591	2,864	12,420	3,545	2,849	12,420	3,492	2,385	12,420	3,492	1,410	12,420	3,512	3,881	12,420	3,535	3,916
12,440	3,266	0,901	12,440	3,480	1,082	12,440	3,492	1,405	12,440	3,581	1,176	12,440	3,566	5,746	12,440	3,563	4,246	12,440	3,553	4,502	12,440	3,597	2,869	12,440	3,551	2,853	12,440	3,498	2,404	12,440	3,497	1,422	12,440	3,518	3,905	12,440	3,542	3,935
12,460	3,272	0,911	12,460	3,486	1,092	12,460	3,498	1,414	12,460	3,586	1,181	12,460	3,572	5,761	12,460	3,569	4,260	12,460	3,559	4,515	12,460	3,603	2,873	12,460	3,557	2,861	12,460	3,504	2,422	12,460	3,503	1,433	12,460	3,524	3,927	12,460	3,547	3,952
12,480	3,278	0,921	12,480	3,491	1,101	12,480	3,504	1,423	12,480	3,593	1,185	12,480	3,578	5,773	12,480	3,575	4,272	12,480	3,564	4,528	12,480	3,609	2,878	12,480	3,563	2,872	12,480	3,510	2,439	12,480	3,509	1,444	12,480	3,529	3,948	12,480	3,554	3,969
12,500	3,284	0,930	12,500	3,497	1,111	12,500	3,510	1,431	12,500	3,598	1,190	12,500	3,583	5,784	12,500	3,581	4,282	12,500	3,570	4,539	12,500	3,614	2,882	12,500	3,568	2,880	12,500	3,516	2,456	12,500	3,515	1,454	12,500	3,535	3,968	12,500	3,559	3,982
12,520	3,290	0,940	12,520	3,503	1,119	12,520	3,516	1,439	12,520	3,604	1,193	12,520	3,589	5,791	12,520	3,587	4,291	12,520	3,575	4,549	12,520	3,620	2,886	12,520	3,574	2,887	12,520	3,522	2,473	12,520	3,520	1,464	12,520	3,541	3,986	12,520	3,565	3,995
12,540	3,295	0,950	12,540	3,508	1,128	12,540	3,521	1,447	12,540	3,609	1,197	12,540	3,595	5,797	12,540	3,592	4,298	12,540	3,582	4,555	12,540	3,626	2,889	12,540	3,579	2,894	12,540	3,527	2,488	12,540	3,527	1,475	12,540	3,547	4,004	12,540	3,570	4,005
12,560	3,302	0,960	12,560	3,514	1,137	12,560	3,527	1,454	12,560	3,615	1,202	12,560	3,601	5,803	12,560	3,598	4,305	12,560	3,587	4,560	12,560	3,632	2,893	12,560	3,586	2,900	12,560	3,533	2,503	12,560	3,532	1,484	12,560	3,552	4,019	12,560	3,576	4,014
12,580	3,308	0,970	12,580	3,520	1,145	12,580	3,533	1,461	12,580	3,621	1,204	12,580	3,607	5,799	12,580	3,604	4,310	12,580	3,593	4,564	12,580	3,638	2,897	12,580	3,592	2,905	12,580	3,539	2,516	12,580	3,538	1,494	12,580	3,558	4,033	12,580	3,582	4,021
12,600	3,313	0,979	12,600	3,526	1,153	12,600	3,539	1,467	12,600	3,627	1,209	12,600	3,613	5,804	12,600	3,610	4,314	12,600	3,599	4,568	12,600	3,644	2,901	12,600	3,597	2,909	12,600	3,544	2,529	12,600	3,544	1,502	12,600	3,564	4,045	12,600	3,588	4,029
12,620	3,319	0,989	12,620	3,532	1,161	12,620	3,544	1,472	12,620	3,633	1,213	12,620	3,618	5,810	12,620	3,615	4,318	12,620	3,605	4,571	12,620	3,649	2,904	12,620	3,603	2,912	12,620	3,550	2,541	12,620	3,550	1,510	12,620	3,570	4,056	12,620	3,594	4,034
12,640	3,325	0,999	12,640	3,537	1,168	12,640	3,550	1,477	12,640	3,639	1,216	12,640	3,624	5,813	12,640	3,621	4,323	12,640	3,611	4,573	12,640	3,655	2,907	12,640	3,609	2,916	12,640	3,557	2,553	12,640	3,555	1,518	12,640	3,576	4,066	12,640	3,600	4,038
12,660	3,331	1,009	12,660	3,544	1,176	12,660	3,556	1,483	12,660	3,645	1,220	12,660	3,630	5,814	12,660	3,628	4,327	12,660	3,616	4,574	12,660	3,661	2,909	12,660	3,614	2,918	12,660	3,562	2,563	12,660	3,562	1,525	12,660	3,582	4,051	12,660	3,605	4,042
12,680	3,336	1,018	12,680	3,549	1,183	12,680	3,562	1,486	12,680	3,651	1,224	12,680	3,636	5,816	12,680	3,633	4,331	12,680	3,622	4,576	12,680	3,667	2,912	12,680	3,621	2,922	12,680	3,568	2,571	12,680	3,567	1,531	12,680	3,587	4,077	12,680	3,611	4,045
12,700	3,342	1,028	12,700	3,555	1,189	12,700	3,568	1,490	12,700	3,656	1,228	12,700	3,641	5,817	12,700	3,639	4,334	12,700	3,629	4,579	12,700	3,673	2,914	12,700	3,627	2,926	12,700	3,574	2,580	12,700	3,573	1,537	12,700	3,593	4,084	12,700	3,617	4,047
12,720	3,348	1,039	12,720	3,560	1,195	12,720	3,573	1,493	12,720	3,662	1,231	12,720	3,647	5,818	12,720	3,645	4,339	12,720	3,634	4,580	12,720	3,678	2,915	12,720	3,633	2,928	12,720	3,579	2,587	12,720	3,579	1,543	12,720	3,599	4,089	12,720	3,623	4,051
12,740	3,354	1,049	12,740	3,566	1,200	12,740	3,579	1,497	12,740	3,668	1,234	12,740	3,654	5,820	12,740	3,651	4,343	12,740	3,640	4,582	12,740	3,684	2,915	12,740	3,638	2,932	12,740	3,586	2,594	12,740	3,585	1,548	12,740	3,604	4,091	12,740	3,629	4,054
12,760	3,360	1,059	12,760	3,572	1,206	12,760	3,585	1,499	12,760	3,673	1,237	12,760	3,659	5,820	12,760	3,656	4,344	12,760	3,646	4,584	12,760	3,690	2,915	12,760	3,644	2,936	12,760	3,591	2,599	12,760	3,590	1,552	12,760	3,611	4,095	12,760	3,635	4,057
12,780	3,366	1,069	12,780	3,579	1,211	12,780	3,591	1,502	12,780	3,679	1,240	12,780	3,665	5,819	12,780	3,662	4,347	12,780	3,652	4,585	12,780	3,696	2,914	12,780	3,649	2,935	12,780	3,597	2,604	12,780	3,596	1,556	12,780	3,617	4,098	12,780	3,640	4,059
12,800	3,371	1,079	12,800	3,584	1,215	12,800	3,596	1,504	12,800	3,685	1,241	12,800	3,671	5,818	12,800	3,668	4,349	12,800	3,657	4,586	12,800	3,701	2,913	12,800	3,655	2,931	12,800	3,603	2,609	12,800	3,602	1,560	12,800	3,622	4,099	12,800	3,646	4,062
12,820	3,377	1,089	12,820	3,590	1,219	12,820	3,602	1,507	12,820	3,691	1,244	12,820	3,676	5,815	12,820	3,674	4,349	12,820	3,663	4,586	12,820	3,707	2,911	12,820	3,661	2,943	12,820	3,608	2,613	12,820	3,607	1,563	12,820	3,628	4,102	12,820	3,652	4,065
12,840	3,383	1,099	12,840	3,596	1,223	12,840	3,608	1,509	12,840	3,697	1,246	12,840	3,682	5,811	12,840	3,679	4,350	12,840	3,669	4,586	12,840	3,713	2,908	12,840	3,667	2,945	12,840	3,615	2,617	12,840	3,613	1,567	12,840	3,634	4,104	12,840	3,657	4,067
12,860	3,389	1,110	12,860	3,602	1,226	12,860	3,614	1,511	12,860	3,703	1,248	12,860	3,688	5,806	12,860	3,686	4,348	12,860	3,675	4,584	12,860	3,719	2,904	12,860	3,673	2,947	12,860	3,620	2,622	12,860	3,619	1,571	12,860	3,640	4,108	12,860	3,663	4,068
12,880	3,395	1,120	12,880	3,608	1,230	12,880	3,620	1,515	12,880	3,708	1,248	12,880	3,694	5,800	12,880	3,692	4,340	12,880	3,681	4,571	12,880	3,725	2,901	12,880	3,678	2,947	12,880	3,626	2,626	12,880	3,625	1,574	12,880	3,646	4,110	12,880	3,669	4,069
12,900	3,401	1,131	12,900	3,613	1,233	12,900	3,626	1,517	12,900	3,715	1,250	12,900	3,700	5,793	12,900	3,697	4,337	12,900	3,686	4,575	12,900	3,730	2,896	12,900	3,684	2,948	12,900	3,632	2,630	12,900	3,631	1,579	12,900	3,651	4,112	12,900	3,675	4,070
12,920	3,406	1,140	12,920	3,619	1,237	12,920	3,632	1,520	12,920	3,720	1,251	12,920	3,706	5,784	12,920	3,703	4,338	12,920	3,692	4,573	12,920	3,737	2,891	12,920	3,690	2,947	12,920	3,638	2,635	12,920	3,636	1,582	12,920	3,657	4,114	12,920	3,681	4,068
12,940	3,412	1,151	12,940	3,625	1,241	12,940	3,637	1,522	12,940	3,726	1,251	12,940	3,711	5,773	12,940	3,709	4,334	12,940	3,698	4,568	12,940	3,743	2,886	12,940	3,696	2,946	12,940	3,644	2,638	12,940	3,642	1,586	12,940	3,663	4,115	12,940	3,686	4,066
12,960	3,418	1,161	12,960	3,631	1,244	12,960	3,643	1,525	12,960	3,731	1,251	12,960	3,717	5,735	12,960	3,715	4,328	12,960	3,703	4,563	12,960	3,748	2,879	12,960	3,701	2,945	12,960	3,649	2,642	12,960	3,648	1,590	12,960	3,669	4,115	12,960	3,692	4,063
12,980	3,424	1,172	12,980	3,636	1,247	12,980	3,649	1,527	12,980	3,738	1,252	12,980	3,723	5,744	12,980	3,720	4,321	12,980	3,709	4,556	12,980	3,753	2,872	12,980	3,707	2,942	12,980	3,655	2,646	12,980	3,654	1,594	12,980	3,675	4,115	12,980	3,698	4,060
13,000	3,430	1,182	13,000	3,642	1,251	13,000	3,655	1,529	13,000	3,743	1,250	13,000	3,729	5,732	13,000	3,726	4,313	13,000	3,716	4,548	13,000	3,759	2,864	13,000	3,713	2,940	13,000	3,661	2,649	13,000	3,660	1,597	13,000	3,680	4,114	13,000	3,704	4,055
13,020	3,435	1,192	13,020	3,648	1,254	13,020	3,661	1,531	13,020	3,748	1,250	13,020	3,735	5,717	13,020	3,732	4,304	13,020	3,721	4,539	13,020	3,765	2,856	13,020	3,719	2,936	13,020	3,667	2,652	13,020	3,666	1,600	13,020	3,687	4,152	13,020	3,710	4,050
13,040	3,440	1,202	13,040	3,654	1,257	13,040	3,666	1,532	13,040	3,754	1,249	13,040	3,740	5,699	13,040	3,737	4,294	13,040	3,727	4,528	13,040	3,771	2,847	13,040	3,725	2,931	13,040	3,673	2,654	13,040	3,671	1,602	13,040	3,692	4,123	13,040	3,716	4,044
13,060	3,447	1,213	13,060	3,660	1,260	13,060	3,672	1,534	13,060	3,760	1,248	13,060	3,746	5,681	13,060	3,744	4,284	13,060	3,733	4,517	13,060	3,776	2,838	13,060	3,731	2,927	13,060	3,678	2,655	13,060	3,677	1,605	13,060	3,698	4,106	13,060	3,722	4,037
13,080	3,452	1,223	13,080	3,666	1,263	13,080	3,678	1,535	13,080	3,765	1,247	13,080	3,751	5,662	13,080	3,749	4,272	13,080	3,738	4,505	13,080	3,782	2,828	13,080	3,736	2,920	13,080	3,684	2,657	13,080	3,683	1,607	13,080	3,704	4,100	13,080	3,728	4,029
13,100	3,458	1,233	13,100	3,671	1,266	13,100	3,684	1,536	13,100	3,772	1,245	13,100	3,757	5,643	13,100	3,754	4,258	13,100	3,744	4,492	13,100	3,788	2,817	13,100	3,742	2,914	13,100	3,690	2,658	13,100	3,689	1,608	13,100	3,709	4,094	13,100	3,733	4,020
13,120	3,464	1,243	13,120	3,677	1,268	13,120	3,690	1,536	13,120	3,777	1,244	13,120	3,763	5,622	13,120	3,760	4,245	13,120	3,750	4,478	13,120	3,794	2,807	13,120	3,748	2,908	13,120	3,696	2,657	13,120	3,695	1,610	13,120	3,715	4,088	13,120	3,739	4,010
13,140	3,470	1,253	13,140	3,683	1,271	13,140	3,695	1,536	13,140	3,783	1,242	13,140	3,769	5,599	13,140	3,766	4,231	13,140	3,756	4,464	13,140	3,800	2,798	13,140	3,753	2,900	13,140	3,702	2,656	13,140	3,700	1,610	13,140	3,721	4,080	13,140	3,745	3,999
13,160	3,475	1,263	13,160	3,689	1,272	13,160	3,701	1,536	13,160	3,789	1,240	13,160	3,775	5,575	13,160	3,772	4,215	13,160	3,761	4,448	13,160	3,805	2,787	13,160	3,759	2,893	13,160	3,707	2,654	13,160	3,706	1,611	13,160	3,727	4,072	13,160	3,750	3,988
13,180	3,481	1,273	13,180	3,694	1,274	13,180	3,707	1,535	13,180	3,795	1,238	13,180	3,780	5,550	13,180	3,778	4,198	13,180	3,767	4,430	13,180	3,811	2,775	13,180	3,764	2,884	13,180	3,714	2,653	13,180	3,712	1,611	13,180	3,733	4,063	13,180	3,756	3,976
13,200	3,487	1,283	13,200	3,701	1,276	13,200	3,713	1,535	13,200	3,800	1,235	13,200	3,786	5,524	13,200	3,783	4,182	13,200	3,773	4,412	13,200	3,817	2,765	13,200	3,770	2,875	13,200	3,719	2,651	13,200	3,718	1,611	13,200	3,738	4,053	13,200	3,761	3,963
13,220	3,492	1,292	13,220	3,706	1,277	13,220	3,718	1,534	13,220	3,806	1,233	13,220	3,792	5,497	13,220	3,789	4,165	13,220	3,779	4,395	13,220	3,823	2,754	13,220	3,776	2,866	13,220	3,725	2,648	13,220	3,724	1,611	13,220	3,744	4,042	13,220	3,767	3,948
13,240	3,498	1,300	13,240	3,712	1,277	13,240	3,725	1,533	13,240	3,812	1,232	13,240	3,797	5,471	13,240	3,795	4,147	13,240	3,785	4,399	13,240	3,828	2,743	13,240	3,782	2,856	13,240	3,731	2,644	13,240	3,729	1,610	13,240	3,749	4,030	13,240	3,773	3,933
13,260	3,504	1,309	13,260	3,718	1,277	13,260	3,730	1,531	13,260	3,818	1,228	13,260	3,803	5,444	13,260	3,801	4,129	13,260	3,790	4,386	13,260	3,834	2,732	13,260	3,788	2,846	13,260	3,736	2,639	13,260	3,735	1,609	13,260	3,755	4,017	13,260	3,778	3,918
13,280	3,510	1,318	13,280	3,724	1,278	13,280	3,736	1,529	13,280	3,823	1,226	13,280	3,809	5,416	13,280	3,807	4,110	13,280	3,796	4,339	13,280	3,840	2,721	13,280	3,794	2,836	13,280	3,742	2,635	13,280	3,741	1,608	13,280	3,761	4,004	13,280	3,784	3,903
13,300	3,516	1,326	13,300	3,730	1,278	13,300	3,742	1,527	13,300	3,830	1,224	13,300	3,815	5,390	13,300	3,813	4,092	13,300	3,802	4,318	13,300	3,846	2,709	13,300	3,800	2,825	13,300	3,748	2,630	13,300	3,746	1,606	13,300	3,767	3,990	13,300	3,790	3,887
13,320	3,522	1,334	13,320	3,735	1,277	13,320	3,747	1,525	13,320	3,835	1,221	13,320	3,821	5,384	13,320	3,818	4,072	13,320	3,808	4,298	13,320	3,852	2,697	13,320	3,805	2,814	13,320	3,753	2,623	13,320	3,752	1,605	13,320	3,772	3,975	13,320	3,796	3,870
13,340	3,528	1,341	13,340	3,741	1,277	13,340	3,753	1,522	13,340	3,841	1,219	13,340	3,827	5,339	13,340	3,824	4,053	13,340	3,813	4,278	13,340	3,858	2,685	13,340	3,811	2,804	13,340	3,759	2,618	13,340	3,758	1,602	13,340	3,778	3,960	13,340	3,802	3,853
13,360	3,534	1,347	13,360	3,747	1,277	13,360	3,758	1,518	13,360	3,847	1,215	13,360	3,832	5,307	13,360	3,829	4,034	13,360	3,819	4,257	13,360	3,863	2,673	13,360	3,816	2,792	13,360	3,765	2,611	13,360	3,763	1,599	13,360	3,784	3,944	13,360	3,808	3,836
13,380	3,540	1,354	13,380	3,752	1,276	13,380	3,764	1,516	13,380	3,852	1,212	13,380	3,838	5,278	13,380	3,836	4,015	13,380	3,824	4,236	13,380	3,869	2,660	13,380	3,823	2,782	13,380	3,770	2,603	13,380	3,769	1,596	13,380	3,790	3,907	13,380	3,814	3,819
13,400	3,545	1,359	13,400	3,758	1,274	13,400	3,770	1,512	13,400	3,858	1,210	13,400	3,844	5,250	13,400	3,841	3,996	13,400	3,831	4,216	13,400	3,875	2,648	13,400	3,829	2,770	13,400	3,776	2,596	13,400	3,775	1,593	13,400	3,795	3,866	13,400	3,820	3,802
13,420	3,551	1,365	13,420	3,764	1,273	13,420	3,775	1,509	13,420	3,864	1,205	13,420	3,850	5,220	13,420	3,847	3,976	13,420	3,837	4,195	13,420	3,881	2,635	13,420	3,834	2,759	13,420	3,782	2,587	13,420	3,781	1,590	13,420	3,802	3,890	13,420	3,825	3,783
13,440	3,556	1,370	13,440	3,770	1,271	13,440	3,782	1,505	13,440	3,871	1,203	13,440	3,856	5,191	13,440	3,853	3,956	13,440	3,842	4,174	13,440	3,887	2,621	13,440	3,840	2,748	13,440	3,788	2,579	13,440	3,786	1,586	13,440	3,807	3,875	13,440	3,831	3,766
13,460	3,563	1,374	13,460	3,775	1,269	13,460	3,787	1,502	13,460	3,876	1,200	13,460	3,861	5,161	13,460	3,859	3,936	13,460	3,848	4,152	13,460	3,892	2,607	13,460	3,846	2,736	13,460	3,794	2,570	13,460	3,792	1,582	13,460	3,813	3,858	13,460	3,837	3,748
13,480	3,568	1,378	13,480	3,781	1,267	13,480	3,793	1,498	13,480	3,882	1,196	13,480	3,867	5,131	13,480	3,865	3,915	13,480	3,854	4,131	13,480	3,898	2,593	13,480	3,852	2,724	13,480	3,800	2,561	13,480	3,798	1,579	13,480	3,819	3,840	13,480	3,843	3,731
13,500	3,574	1,382	13,500	3,787	1,266	13,500	3,799	1,495	13,500	3,888	1,192	13,500	3,873	5,100	13,500	3,871	3,893	13,500	3,860	4,108	13,500	3,904	2,579	13,500	3,857	2,712	13,500	3,805	2,552	13,500	3,804	1,574	13,500	3,825	3,823	13,500	3,849	3,712
13,520	3,579	1,384	13,520	3,793	1,263	13,520	3,805	1,492	13,520	3,893	1,187	13,520	3,879	5,070	13,520	3,876	3,872	13,520	3,866	4,087	13,520	3,910	2,564	13,520	3,864	2,727	13,520	3,811	2,543	13,520	3,809	1,570	13,520	3,830	3,805	13,520	3,854	3,693
13,540	3,586	1,388	13,540	3,798	1,260	13,540	3,810	1,488	13,540	3,899	1,184	13,540	3,885	5,038	13,540	3,882	3,850	13,540	3,871	4,064	13,540	3,916	2,549	13,540	3,869	2,701	13,540	3,817	2,534	13,540	3,816	1,567	13,540	3,836	3,787	13,540	3,860	3,675
13,560	3,592	1,391	13,560	3,804	1,258	13,560	3,816	1,484	13,560	3,905	1,180	13,560	3,890	5,007	13,560	3,888	3,827	13,560	3,878	4,041	13,560	3,922	2,534	13,560	3,875	2,676	13,560	3,823	2,525	13,560	3,821	1,563	13,560	3,842	3,769	13,560	3,866	3,656
13,580	3,597	1,393	13,580	3,810	1,256	13,580	3,822	1,480	13,580	3,911	1,175	13,580	3,896	4,973	13,580	3,894	3,804	13,580	3,883	4,017	13,580	3,927	2,518	13,580	3,881	2,661	13,580	3,828	2,516	13,580	3,827	1,558	13,580	3,848	3,750	13,580	3,872	3,636
13,600	3,603	1,397	13,600	3,816	1,253	13,600	3,828	1,477	13,600	3,916	1,170	13,600	3,902	4,940	13,600	3,900	3,781	13,600	3,889	3,992	13,600	3,933	2,503	13,600	3,886	2,647	13,600	3,834	2,506	13,600	3,833	1,554	13,600	3,854	3,731	13,600	3,877	3,615
13,620	3,609	1,399	13,620	3,822	1,251	13,620	3,834	1,473	13,620	3,922	1,166	13,620	3,907	4,906	13,620	3,905	3,744	13,620	3,895	3,957	13,620	3,939	2,488	13,620	3,893	2,634	13,620	3,840	2,497	13,620	3,839	1,549	13,620	3,860	3,712	13,620	3,883	3,596
13,640	3,615	1,402	13,640	3,828	1,248	13,640	3,840	1,469	13,640	3,928	1,161	13,640	3,913	4,871	13,640	3,911	3,730	13,640	3,901	3,943	13,640	3,944	2,471	13,640	3,898	2,620	13,640	3,846	2,487	13,640	3,844	1,545	13,640	3,865	3,693	13,640	3,889	3,575
13,660	3,620	1,405	13,660	3,833	1,245	13,660	3,845	1,464	13,660	3,934	1,156	13,660	3,919	4,836	13,660	3,917	3,707	13,660	3,906	3,918	13,660	3,951	2,456	13,660	3,904	2,605	13,660	3,851	2,476	13,660	3,850	1,541	13,660	3,871	3,674	13,660	3,895	3,554
13,680	3,627	1,408	13,680	3,839	1,242	13,680	3,851	1,460	13,680	3,940	1,151	13,680	3,925	4,793	13,680	3,923	3,683	13,680	3,912	3,892	13,680	3,956	2,438	13,680	3,910	2,590	13,680	3,858	2,466	13,680	3,856	1,535	13,680	3,877	3,653	13,680	3,901	3,532
13,700	3,632	1,411	13,700	3,845	1,239	13,700	3,857	1,456	13,700	3,945	1,145	13,700	3,931	4,763	13,700	3,929	3,657	13,700	3,918	3,866	13,700	3,962	2,422	13,700	3,915	2,575	13,700	3,863	2,454	13,700	3,863	1,531	13,700	3,882	3,632	13,700	3,906	3,510
13,720	3,638	1,414	13,720	3,850	1,236	13,720	3,863	1,452	13,720	3,951	1,140	13,720	3,937	4,729	13,720	3,935	3,631	13,720	3,924	3,840	13,720	3,968	2,404	13,720	3,921	2,560	13,720	3,869	2,445	13,720	3,868	1,525	13,720	3,888	3,612	13,720	3,912	3,487
13,740	3,644	1,417	13,740	3,857	1,233	13,740	3,868	1,447	13,740	3,957	1,133	13,740	3,942	4,691	13,740	3,940	3,605	13,740	3,929	3,813	13,740	3,974	2,387	13,740	3,927	2,544	13,740	3,875	2,433	13,740	3,874	1,520	13,740	3,894	3,591	13,740	3,918	3,465
13,760	3,649	1,419	13,760	3,863	1,230	13,760	3,874	1,443	13,760	3,963	1,129	13,760	3,948	4,653	13,760	3,946	3,578	13,760	3,935	3,785	13,760	3,980	2,369	13,760	3,933	2,529	13,760	3,880	2,420	13,760	3,880	1,515	13,760	3,900	3,590	13,760	3,924	3,442
13,780	3,655	1,421	13,780	3,868	1,226	13,780	3,880	1,438	13,780	3,969	1,123	13,780	3,954	4,616	13,780	3,952	3,550	13,780	3,941	3,758	13,780	3,985	2,350	13,780	3,939	2,511	13,780	3,887	2,409	13,780	3,885	1,508	13,780	3,906	3,549	13,780	3,930	3,418
13,800	3,661	1,424	13,800	3,874	1,222	13,800	3,886	1,434	13,800	3,974	1,116	13,800	3,959	4,578	13,800	3,957	3,523	13,800	3,946	3,730	13,800	3,992	2,332	13,800	3,945	2,496	13,800	3,892	2,397	13,800	3,891	1,503	13,800	3,912	3,524	13,800	3,935	3,394
13,820	3,667	1,426	13,820	3,880	1,219	13,820	3,892	1,429	13,820	3,980	1,111	13,820	3,965	4,539	13,820	3,964	3,495	13,820	3,953	3,702	13,820	3,997	2,313	13,820	3,950	2,478	13,820	3,898	2,385	13,820	3,897	1,497	13,820	3,917	3,501	13,820	3,941	3,370
13,840	3,673	1,427	13,840	3,886	1,215	13,840	3,898	1,424	13,840	3,986	1,103	13,840	3,972	4,500	13,840	3,969	3,467	13,840	3,959	3,673	13,840	4,003	2,294	13,840	3,956	2,461	13,840	3,904	2,372	13,840	3,902	1,490	13,840	3,924	3,478	13,840	3,946	3,345
13,860	3,678	1,429	13,860	3,891	1,211	13,860	3,903	1,418	13,860	3,992	1,097	13,860	3,977	4,461	13,860	3,975	3,437	13,860	3,964	3,643	13,860	4,009	2,275	13,860	3,962	2,444	13,860	3,910	2,358	13,860	3,908	1,484	13,860	3,929	3,454	13,860	3,953	3,321
13,880	3,684	1,430	13,880	3,897	1,207	13,880	3,909	1,413	13,880	3,998	1,091	13,880	3,983	4,422	13,880	3,981	3,409	13,880	3,970	3,615	13,880	4,014	2,254	13,880	3,968	2,418	13,880	3,915	2,345	13,880	3,914	1,477	13,880	3,935	3,430	13,880	3,959	3,295
13,900	3,690	1,431	13,900	3,903	1,202	13,900	3,915	1,408	13,900	4,004	1,084	13,900	3,989	4,382	13,900	3,987	3,379	13,900	3,976	3,584	13,900	4,020	2,234	13,900	3,973	2,390	13,900	3,921	2,331	13,900	3,920	1,471	13,900	3,940	3,405	13,900	3,965	3,270
13,920	3,696	1,431	13,920	3,909	1,198	13,920	3,921	1,402	13,920	4,009	1,077	13,920	3,995	4,341	13,920	3,992	3,348	13,920	3,982	3,553	13,920	4,026	2,213	13,920	3,979	2,389	13,920	3,927	2,318	13,920	3,925	1,464	13,920	3,947	3,381	13,920	3,970	3,244
13,940	3,702	1,432	13,940	3,915	1,193	13,940	3,926	1,396	13,940	4,015	1,070	13,940	4,001	4,299	13,940	3,999	3,319	13,940	3,987	3,523	13,940	4,032	2,192	13,940	3,985	2,372	13,940	3,933	2,303	13,940	3,931	1,456	13,940	3,953	3,356	13,940	3,976	3,217
13,960	3,708	1,432	13,960	3,920	1,189	13,960	3,932	1,390	13,960	4,020	1,061	13,960	4,005	4,256	13,960	4,004	3,287	13,960	3,993	3,492	13,960	4,038	2,170	13,960	3,991	2,353	13,960	3,939	2,289	13,960	3,937	1,450	13,960	3,958	3,331	13,960	3,982	3,191
13,980	3,713	1,432	13,980	3,926	1,184	13,980	3,938	1,384	13,980	4,027	1,054	13,980	4,012	4,213	13,980	4,010	3,256	13,980	3,999	3,445	13,980	4,043	2,147	13,980	3,997	2,334	13,980	3,944	2,274	13,980	3,943	1,443	13,980	3,964	3,304	13,980	3,987	3,164
14,000	3,719	1,431	14,000	3,932	1,179	14,000	3,944	1,378	14,000	4,032	1,045	14,000	4,017	4,168	14,000	4,016	3,223	14,000	4,005	3,426	14,000	4,049	2,124	14,000	4,002	2,315	14,000	3,950	2,259	14,000	3,949	1,435	14,000	3,970	3,279	14,000	3,993	3,136
14,020	3,725	1,431	14,020	3,938	1,173	14,020	3,950	1,372	14,020	4,038	1,037	14,020	4,024	4,124	14,020	4,021	3,190	14,020	4,011	3,395	14,020	4,055	2,102	14,020	4,008	2,295	14,020	3,956	2,243	14,020	3,955	1,427	14,020	3,976	3,252	14,020	3,999	3,108
14,040	3,731	1,430	14,040	3,943	1,168	14,040	3,956	1,366	14,040	4,044	1,029	14,040	4,029	4,087	14,040	4,027	3,157	14,040	4,016	3,362	14,040	4,061	2,078	14,040	4,014	2,274	14,040	3,962	2,228	14,040	3,960	1,419	14,040	3,981	3,225	14,040	4,005	3,080
14,060	3,736	1,428	14,060	3,950	1,163	14,060	3,961	1,359	14,060	4,050	1,020	14,060	4,035	4,035	14,060	4,033	3,122	14,060	4,022	3,327	14,060	4,066	2,053	14,060	4,020	2,255	14,060	3,968	2,212	14,060	3,966	1,411	14,060	3,987	3,198	14,060	4,011	3,050
14,080	3,742	1,427	14,080	3,955	1,157	14,080	3,967	1,352	14,080	4,056	1,012	14,080	4,041	3,984	14,080	4,039	3,088	14,080	4,028	3,293	14,080	4,072	2,030	14,080	4,025	2,233	14,080	3,973	2,196	14,080	3,972	1,403	14,080	3,993	3,171	14,080	4,017	3,021
