Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15
7,720	1,863	0,360	7,720	1,870	0,323	7,720	1,878	0,425	7,720	1,810	0,313	7,720	1,809	0,345	7,720	1,846	0,336	7,720	1,842	0,341	7,720	1,938	0,252	7,720	1,906	0,791	7,720	1,927	0,748	7,720	1,955	1,055	7,720	1,888	1,506	7,720	1,842	2,252	7,720	1,864	2,014	7,720	1,768	3,468
7,740	1,868	0,371	7,740	1,875	0,334	7,740	1,884	0,431	7,740	1,815	0,325	7,740	1,814	0,352	7,740	1,852	0,346	7,740	1,847	0,354	7,740	1,943	0,253	7,740	1,912	0,797	7,740	1,933	0,737	7,740	1,960	1,004	7,740	1,893	1,454	7,740	1,849	2,178	7,740	1,869	1,933	7,740	1,774	3,373
7,760	1,873	0,383	7,760	1,880	0,340	7,760	1,890	0,442	7,760	1,821	0,335	7,760	1,820	0,346	7,760	1,857	0,356	7,760	1,852	0,366	7,760	1,948	0,257	7,760	1,917	0,788	7,760	1,938	0,719	7,760	1,965	0,964	7,760	1,898	1,400	7,760	1,854	2,100	7,760	1,874	1,879	7,760	1,779	3,275
7,780	1,878	0,395	7,780	1,885	0,352	7,780	1,895	0,453	7,780	1,826	0,345	7,780	1,825	0,374	7,780	1,862	0,368	7,780	1,858	0,379	7,780	1,954	0,261	7,780	1,923	0,782	7,780	1,943	0,703	7,780	1,971	0,930	7,780	1,904	1,347	7,780	1,859	2,022	7,780	1,879	1,836	7,780	1,784	3,174
7,800	1,883	0,403	7,800	1,891	0,367	7,800	1,900	0,465	7,800	1,832	0,355	7,800	1,830	0,386	7,800	1,868	0,380	7,800	1,863	0,393	7,800	1,959	0,265	7,800	1,928	0,772	7,800	1,948	0,687	7,800	1,976	0,895	7,800	1,909	1,296	7,800	1,864	1,940	7,800	1,885	1,788	7,800	1,790	3,073
7,820	1,889	0,418	7,820	1,896	0,380	7,820	1,905	0,478	7,820	1,837	0,365	7,820	1,836	0,398	7,820	1,873	0,391	7,820	1,869	0,407	7,820	1,964	0,267	7,820	1,933	0,760	7,820	1,954	0,671	7,820	1,981	0,860	7,820	1,915	1,247	7,820	1,869	1,871	7,820	1,890	1,746	7,820	1,795	2,969
7,840	1,894	0,433	7,840	1,901	0,390	7,840	1,911	0,490	7,840	1,842	0,376	7,840	1,840	0,409	7,840	1,877	0,377	7,840	1,873	0,419	7,840	1,970	0,269	7,840	1,938	0,746	7,840	1,959	0,652	7,840	1,986	0,829	7,840	1,920	1,198	7,840	1,874	1,801	7,840	1,895	1,709	7,840	1,801	2,865
7,860	1,899	0,459	7,860	1,906	0,403	7,860	1,916	0,501	7,860	1,848	0,387	7,860	1,846	0,421	7,860	1,883	0,412	7,860	1,878	0,433	7,860	1,975	0,270	7,860	1,944	0,731	7,860	1,964	0,634	7,860	1,992	0,800	7,860	1,926	1,152	7,860	1,880	1,732	7,860	1,900	1,675	7,860	1,806	2,760
7,880	1,905	0,478	7,880	1,912	0,414	7,880	1,921	0,512	7,880	1,853	0,399	7,880	1,851	0,433	7,880	1,888	0,426	7,880	1,883	0,444	7,880	1,980	0,270	7,880	1,949	0,713	7,880	1,969	0,615	7,880	1,997	0,773	7,880	1,931	1,107	7,880	1,885	1,666	7,880	1,906	1,648	7,880	1,811	2,654
7,900	1,910	0,474	7,900	1,918	0,426	7,900	1,926	0,522	7,900	1,858	0,410	7,900	1,857	0,447	7,900	1,893	0,438	7,900	1,889	0,484	7,900	1,986	0,257	7,900	1,954	0,695	7,900	1,974	0,595	7,900	2,002	0,747	7,900	1,936	1,093	7,900	1,890	1,605	7,900	1,911	1,626	7,900	1,816	2,548
7,920	1,915	0,485	7,920	1,923	0,436	7,920	1,932	0,530	7,920	1,864	0,421	7,920	1,862	0,459	7,920	1,898	0,450	7,920	1,894	0,471	7,920	1,991	0,258	7,920	1,960	0,676	7,920	1,980	0,577	7,920	2,008	0,720	7,920	1,942	1,035	7,920	1,895	1,546	7,920	1,916	1,609	7,920	1,822	2,443
7,940	1,921	0,496	7,940	1,928	0,446	7,940	1,937	0,534	7,940	1,869	0,433	7,940	1,867	0,472	7,940	1,904	0,462	7,940	1,899	0,477	7,940	1,996	0,262	7,940	1,964	0,618	7,940	1,985	0,557	7,940	2,013	0,659	7,940	1,947	0,995	7,940	1,900	1,490	7,940	1,922	1,595	7,940	1,827	2,342
7,960	1,926	0,507	7,960	1,934	0,455	7,960	1,943	0,540	7,960	1,874	0,446	7,960	1,872	0,484	7,960	1,909	0,472	7,960	1,905	0,484	7,960	2,001	0,260	7,960	1,971	0,608	7,960	1,991	0,538	7,960	2,019	0,647	7,960	1,952	0,960	7,960	1,906	1,439	7,960	1,927	1,581	7,960	1,832	2,245
7,980	1,931	0,515	7,980	1,939	0,462	7,980	1,948	0,543	7,980	1,879	0,458	7,980	1,878	0,499	7,980	1,915	0,481	7,980	1,910	0,490	7,980	2,007	0,256	7,980	1,975	0,591	7,980	1,996	0,519	7,980	2,023	0,653	7,980	1,958	0,930	7,980	1,911	1,391	7,980	1,932	1,581	7,980	1,838	2,154
8,000	1,937	0,522	8,000	1,944	0,467	8,000	1,953	0,542	8,000	1,884	0,471	8,000	1,882	0,511	8,000	1,920	0,489	8,000	1,916	0,494	8,000	2,013	0,252	8,000	1,981	0,599	8,000	2,001	0,499	8,000	2,029	0,631	8,000	1,962	0,898	8,000	1,916	1,344	8,000	1,938	1,581	8,000	1,843	2,067
8,020	1,942	0,527	8,020	1,950	0,470	8,020	1,959	0,539	8,020	1,889	0,483	8,020	1,888	0,525	8,020	1,925	0,490	8,020	1,921	0,495	8,020	2,018	0,248	8,020	1,986	0,575	8,020	2,007	0,481	8,020	2,035	0,630	8,020	1,968	0,870	8,020	1,922	1,302	8,020	1,943	1,584	8,020	1,848	1,984
8,040	1,947	0,530	8,040	1,955	0,471	8,040	1,964	0,534	8,040	1,895	0,496	8,040	1,893	0,537	8,040	1,931	0,499	8,040	1,926	0,494	8,040	2,024	0,244	8,040	1,992	0,554	8,040	2,012	0,463	8,040	2,040	0,622	8,040	1,973	0,845	8,040	1,927	1,263	8,040	1,948	1,594	8,040	1,854	1,906
8,060	1,953	0,531	8,060	1,960	0,470	8,060	1,969	0,525	8,060	1,900	0,542	8,060	1,899	0,549	8,060	1,936	0,499	8,060	1,932	0,493	8,060	2,028	0,238	8,060	1,996	0,545	8,060	2,018	0,447	8,060	2,045	0,614	8,060	1,979	0,823	8,060	1,932	1,227	8,060	1,954	1,608	8,060	1,860	1,833
8,080	1,958	0,529	8,080	1,965	0,467	8,080	1,974	0,511	8,080	1,905	0,528	8,080	1,904	0,559	8,080	1,941	0,503	8,080	1,936	0,486	8,080	2,034	0,234	8,080	2,002	0,516	8,080	2,023	0,414	8,080	2,050	0,608	8,080	1,984	0,796	8,080	1,937	1,194	8,080	1,959	1,634	8,080	1,864	1,764
8,100	1,963	0,524	8,100	1,970	0,461	8,100	1,980	0,505	8,100	1,911	0,537	8,100	1,909	0,573	8,100	1,946	0,500	8,100	1,942	0,482	8,100	2,039	0,229	8,100	2,008	0,495	8,100	2,028	0,412	8,100	2,056	0,604	8,100	1,989	0,783	8,100	1,943	1,167	8,100	1,965	1,664	8,100	1,869	1,704
8,120	1,969	0,517	8,120	1,976	0,455	8,120	1,985	0,493	8,120	1,916	0,548	8,120	1,915	0,581	8,120	1,952	0,497	8,120	1,947	0,475	8,120	2,044	0,225	8,120	2,013	0,477	8,120	2,034	0,397	8,120	2,061	0,601	8,120	1,995	0,770	8,120	1,948	1,143	8,120	1,970	1,677	8,120	1,875	1,644
8,140	1,974	0,509	8,140	1,981	0,442	8,140	1,991	0,481	8,140	1,922	0,559	8,140	1,920	0,586	8,140	1,957	0,492	8,140	1,953	0,467	8,140	2,050	0,220	8,140	2,018	0,459	8,140	2,039	0,388	8,140	2,066	0,600	8,140	2,000	0,757	8,140	1,954	1,151	8,140	1,975	1,709	8,140	1,879	1,586
8,160	1,979	0,499	8,160	1,987	0,436	8,160	1,996	0,467	8,160	1,927	0,568	8,160	1,925	0,591	8,160	1,962	0,485	8,160	1,959	0,459	8,160	2,055	0,215	8,160	2,023	0,443	8,160	2,044	0,355	8,160	2,072	0,602	8,160	2,005	0,746	8,160	1,959	1,109	8,160	1,981	1,745	8,160	1,885	1,535
8,180	1,985	0,487	8,180	1,992	0,426	8,180	2,001	0,454	8,180	1,932	0,575	8,180	1,931	0,593	8,180	1,968	0,476	8,180	1,963	0,448	8,180	2,060	0,212	8,180	2,029	0,428	8,180	2,049	0,361	8,180	2,077	0,605	8,180	2,011	0,740	8,180	1,964	1,093	8,180	1,986	1,786	8,180	1,890	1,483
8,200	1,990	0,475	8,200	1,997	0,415	8,200	2,006	0,442	8,200	1,938	0,581	8,200	1,936	0,594	8,200	1,973	0,465	8,200	1,969	0,438	8,200	2,066	0,206	8,200	2,034	0,414	8,200	2,055	0,292	8,200	2,082	0,608	8,200	2,015	0,734	8,200	1,970	1,082	8,200	1,991	1,830	8,200	1,895	1,445
8,220	1,996	0,435	8,220	2,003	0,405	8,220	2,012	0,429	8,220	1,943	0,584	8,220	1,941	0,591	8,220	1,979	0,454	8,220	1,974	0,427	8,220	2,071	0,201	8,220	2,039	0,401	8,220	2,060	0,324	8,220	2,087	0,615	8,220	2,021	0,730	8,220	1,975	1,074	8,220	1,996	1,879	8,220	1,901	1,408
8,240	2,001	0,444	8,240	2,008	0,394	8,240	2,017	0,415	8,240	1,948	0,580	8,240	1,947	0,581	8,240	1,984	0,443	8,240	1,979	0,405	8,240	2,076	0,197	8,240	2,045	0,389	8,240	2,065	0,297	8,240	2,093	0,624	8,240	2,026	0,722	8,240	1,980	1,070	8,240	2,002	1,933	8,240	1,906	1,376
8,260	2,006	0,435	8,260	2,013	0,382	8,260	2,022	0,401	8,260	1,953	0,582	8,260	1,952	0,578	8,260	1,989	0,431	8,260	1,984	0,399	8,260	2,082	0,217	8,260	2,050	0,377	8,260	2,071	0,318	8,260	2,098	0,633	8,260	2,032	0,727	8,260	1,986	1,068	8,260	2,007	1,991	8,260	1,912	1,346
8,280	2,011	0,421	8,280	2,019	0,373	8,280	2,028	0,388	8,280	1,958	0,578	8,280	1,957	0,569	8,280	1,995	0,420	8,280	1,990	0,392	8,280	2,087	0,191	8,280	2,055	0,370	8,280	2,076	0,326	8,280	2,103	0,634	8,280	2,038	0,732	8,280	1,991	1,070	8,280	2,012	2,053	8,280	1,917	1,322
8,300	2,017	0,408	8,300	2,024	0,360	8,300	2,033	0,375	8,300	1,964	0,572	8,300	1,963	0,557	8,300	2,000	0,408	8,300	1,995	0,378	8,300	2,092	0,186	8,300	2,060	0,357	8,300	2,081	0,321	8,300	2,109	0,658	8,300	2,042	0,738	8,300	1,996	1,076	8,300	2,018	2,120	8,300	1,923	1,303
8,320	2,022	0,396	8,320	2,029	0,348	8,320	2,039	0,362	8,320	1,969	0,562	8,320	1,968	0,544	8,320	2,005	0,396	8,320	2,001	0,368	8,320	2,098	0,182	8,320	2,066	0,351	8,320	2,087	0,317	8,320	2,114	0,673	8,320	2,048	0,746	8,320	2,001	1,084	8,320	2,023	2,191	8,320	1,927	1,288
8,340	2,027	0,383	8,340	2,035	0,337	8,340	2,044	0,348	8,340	1,975	0,551	8,340	1,973	0,531	8,340	2,010	0,383	8,340	2,006	0,356	8,340	2,103	0,179	8,340	2,071	0,344	8,340	2,092	0,313	8,340	2,119	0,721	8,340	2,053	0,754	8,340	2,007	1,096	8,340	2,028	2,266	8,340	1,933	1,279
8,360	2,033	0,369	8,360	2,040	0,328	8,360	2,050	0,336	8,360	1,980	0,539	8,360	1,979	0,517	8,360	2,016	0,371	8,360	2,011	0,343	8,360	2,108	0,175	8,360	2,076	0,333	8,360	2,097	0,310	8,360	2,124	0,703	8,360	2,058	0,765	8,360	2,012	1,111	8,360	2,034	2,345	8,360	1,938	1,272
8,380	2,038	0,356	8,380	2,045	0,315	8,380	2,055	0,323	8,380	1,985	0,525	8,380	1,984	0,503	8,380	2,021	0,359	8,380	2,017	0,332	8,380	2,113	0,167	8,380	2,082	0,322	8,380	2,103	0,309	8,380	2,130	0,711	8,380	2,064	0,780	8,380	2,017	1,128	8,380	2,039	2,429	8,380	1,943	1,269
8,400	2,043	0,343	8,400	2,051	0,303	8,400	2,060	0,311	8,400	1,991	0,502	8,400	1,989	0,488	8,400	2,027	0,347	8,400	2,022	0,320	8,400	2,119	0,168	8,400	2,087	0,325	8,400	2,108	0,308	8,400	2,135	0,739	8,400	2,069	0,796	8,400	2,023	1,150	8,400	2,044	2,519	8,400	1,949	1,271
8,420	2,049	0,330	8,420	2,056	0,292	8,420	2,065	0,294	8,420	1,996	0,490	8,420	1,995	0,474	8,420	2,031	0,334	8,420	2,028	0,309	8,420	2,124	0,166	8,420	2,092	0,322	8,420	2,114	0,303	8,420	2,140	0,762	8,420	2,074	0,815	8,420	2,028	1,173	8,420	2,049	2,611	8,420	1,954	1,276
8,440	2,054	0,317	8,440	2,061	0,281	8,440	2,070	0,289	8,440	2,002	0,482	8,440	2,000	0,457	8,440	2,037	0,322	8,440	2,033	0,298	8,440	2,129	0,163	8,440	2,098	0,319	8,440	2,118	0,306	8,440	2,146	0,785	8,440	2,080	0,834	8,440	2,034	1,200	8,440	2,055	2,692	8,440	1,959	1,288
8,460	2,059	0,305	8,460	2,067	0,268	8,460	2,076	0,281	8,460	2,007	0,468	8,460	2,005	0,440	8,460	2,042	0,310	8,460	2,038	0,288	8,460	2,135	0,161	8,460	2,103	0,317	8,460	2,124	0,309	8,460	2,151	0,809	8,460	2,085	0,855	8,460	2,039	1,229	8,460	2,060	2,799	8,460	1,965	1,303
8,480	2,065	0,294	8,480	2,072	0,261	8,480	2,081	0,272	8,480	2,012	0,454	8,480	2,010	0,430	8,480	2,048	0,299	8,480	2,043	0,278	8,480	2,140	0,160	8,480	2,109	0,316	8,480	2,129	0,310	8,480	2,156	0,832	8,480	2,090	0,878	8,480	2,044	1,295	8,480	2,066	2,911	8,480	1,970	1,322
8,500	2,070	0,284	8,500	2,077	0,254	8,500	2,086	0,267	8,500	2,017	0,439	8,500	2,015	0,416	8,500	2,053	0,295	8,500	2,048	0,269	8,500	2,145	0,157	8,500	2,113	0,315	8,500	2,134	0,312	8,500	2,161	0,860	8,500	2,095	0,903	8,500	2,050	1,312	8,500	2,071	3,027	8,500	1,975	1,343
8,520	2,075	0,274	8,520	2,083	0,247	8,520	2,092	0,258	8,520	2,023	0,425	8,520	2,021	0,401	8,520	2,059	0,280	8,520	2,054	0,261	8,520	2,151	0,156	8,520	2,118	0,289	8,520	2,139	0,315	8,520	2,167	0,888	8,520	2,101	0,932	8,520	2,055	1,342	8,520	2,076	3,137	8,520	1,981	1,371
8,540	2,081	0,265	8,540	2,088	0,239	8,540	2,097	0,252	8,540	2,028	0,412	8,540	2,026	0,388	8,540	2,064	0,270	8,540	2,059	0,252	8,540	2,155	0,154	8,540	2,124	0,301	8,540	2,145	0,320	8,540	2,172	0,919	8,540	2,106	0,961	8,540	2,060	1,383	8,540	2,082	3,255	8,540	1,986	1,402
8,560	2,086	0,249	8,560	2,094	0,232	8,560	2,102	0,246	8,560	2,033	0,398	8,560	2,032	0,375	8,560	2,069	0,262	8,560	2,064	0,245	8,560	2,161	0,153	8,560	2,130	0,320	8,560	2,150	0,324	8,560	2,177	0,950	8,560	2,111	0,992	8,560	2,065	1,427	8,560	2,087	3,378	8,560	1,991	1,438
8,580	2,091	0,243	8,580	2,098	0,226	8,580	2,108	0,241	8,580	2,039	0,383	8,580	2,037	0,362	8,580	2,074	0,254	8,580	2,070	0,234	8,580	2,167	0,152	8,580	2,135	0,332	8,580	2,156	0,329	8,580	2,183	0,933	8,580	2,117	1,021	8,580	2,070	1,475	8,580	2,092	3,504	8,580	1,997	1,480
8,600	2,097	0,242	8,600	2,104	0,220	8,600	2,113	0,237	8,600	2,044	0,370	8,600	2,043	0,349	8,600	2,080	0,247	8,600	2,075	0,216	8,600	2,172	0,152	8,600	2,140	0,325	8,600	2,161	0,334	8,600	2,188	1,009	8,600	2,122	1,032	8,600	2,076	1,525	8,600	2,097	3,635	8,600	2,001	1,523
8,620	2,102	0,236	8,620	2,109	0,214	8,620	2,118	0,233	8,620	2,050	0,357	8,620	2,048	0,338	8,620	2,085	0,241	8,620	2,081	0,222	8,620	2,177	0,151	8,620	2,146	0,329	8,620	2,167	0,341	8,620	2,193	1,053	8,620	2,128	1,089	8,620	2,081	1,578	8,620	2,103	3,769	8,620	2,007	1,571
8,640	2,108	0,231	8,640	2,115	0,209	8,640	2,123	0,229	8,640	2,055	0,345	8,640	2,053	0,328	8,640	2,091	0,235	8,640	2,086	0,218	8,640	2,182	0,151	8,640	2,150	0,334	8,640	2,172	0,348	8,640	2,198	1,091	8,640	2,133	1,127	8,640	2,087	1,635	8,640	2,108	3,907	8,640	2,012	1,625
8,660	2,113	0,225	8,660	2,120	0,205	8,660	2,129	0,227	8,660	2,060	0,333	8,660	2,058	0,318	8,660	2,096	0,229	8,660	2,091	0,213	8,660	2,187	0,150	8,660	2,156	0,339	8,660	2,177	0,354	8,660	2,203	1,131	8,660	2,138	1,167	8,660	2,091	1,693	8,660	2,113	4,049	8,660	2,018	1,681
8,680	2,118	0,221	8,680	2,125	0,201	8,680	2,134	0,224	8,680	2,065	0,322	8,680	2,064	0,309	8,680	2,101	0,224	8,680	2,097	0,208	8,680	2,193	0,150	8,680	2,161	0,332	8,680	2,182	0,362	8,680	2,209	1,170	8,680	2,143	1,208	8,680	2,097	1,755	8,680	2,119	4,193	8,680	2,023	1,741
8,700	2,124	0,217	8,700	2,131	0,198	8,700	2,140	0,222	8,700	2,071	0,312	8,700	2,069	0,301	8,700	2,106	0,220	8,700	2,102	0,204	8,700	2,198	0,150	8,700	2,167	0,359	8,700	2,187	0,372	8,700	2,214	1,212	8,700	2,149	1,252	8,700	2,102	1,820	8,700	2,124	4,343	8,700	2,028	1,807
8,720	2,129	0,214	8,720	2,136	0,194	8,720	2,145	0,221	8,720	2,076	0,304	8,720	2,074	0,294	8,720	2,112	0,222	8,720	2,107	0,200	8,720	2,203	0,150	8,720	2,172	0,359	8,720	2,192	0,381	8,720	2,219	1,254	8,720	2,154	1,297	8,720	2,108	1,887	8,720	2,129	4,495	8,720	2,034	1,878
8,740	2,134	0,211	8,740	2,141	0,192	8,740	2,151	0,220	8,740	2,081	0,297	8,740	2,080	0,287	8,740	2,117	0,219	8,740	2,112	0,197	8,740	2,208	0,150	8,740	2,177	0,368	8,740	2,197	0,391	8,740	2,225	1,299	8,740	2,159	1,345	8,740	2,113	1,955	8,740	2,135	4,648	8,740	2,039	1,950
8,760	2,140	0,202	8,760	2,147	0,190	8,760	2,155	0,220	8,760	2,087	0,301	8,760	2,085	0,281	8,760	2,122	0,211	8,760	2,118	0,195	8,760	2,214	0,150	8,760	2,183	0,376	8,760	2,203	0,400	8,760	2,230	1,344	8,760	2,165	1,394	8,760	2,119	2,029	8,760	2,140	4,804	8,760	2,044	2,027
8,780	2,145	0,242	8,780	2,152	0,188	8,780	2,161	0,221	8,780	2,092	0,290	8,780	2,091	0,281	8,780	2,128	0,208	8,780	2,123	0,192	8,780	2,219	0,151	8,780	2,188	0,385	8,780	2,208	0,408	8,780	2,235	1,395	8,780	2,170	1,444	8,780	2,124	2,104	8,780	2,145	4,961	8,780	2,049	2,108
8,800	2,150	0,210	8,800	2,157	0,191	8,800	2,166	0,221	8,800	2,097	0,277	8,800	2,096	0,265	8,800	2,133	0,207	8,800	2,128	0,190	8,800	2,224	0,152	8,800	2,193	0,410	8,800	2,213	0,423	8,800	2,240	1,442	8,800	2,175	1,497	8,800	2,129	2,182	8,800	2,151	5,118	8,800	2,055	2,196
8,820	2,156	0,206	8,820	2,162	0,202	8,820	2,172	0,222	8,820	2,103	0,270	8,820	2,101	0,266	8,820	2,138	0,205	8,820	2,134	0,189	8,820	2,230	0,153	8,820	2,198	0,406	8,820	2,219	0,437	8,820	2,246	1,488	8,820	2,181	1,550	8,820	2,134	2,263	8,820	2,156	5,280	8,820	2,060	2,281
8,840	2,161	0,204	8,840	2,168	0,188	8,840	2,177	0,224	8,840	2,108	0,266	8,840	2,106	0,263	8,840	2,143	0,204	8,840	2,139	0,188	8,840	2,235	0,154	8,840	2,203	0,416	8,840	2,224	0,449	8,840	2,251	1,538	8,840	2,186	1,605	8,840	2,140	2,276	8,840	2,161	5,425	8,840	2,066	2,378
8,860	2,166	0,205	8,860	2,173	0,185	8,860	2,183	0,227	8,860	2,113	0,262	8,860	2,112	0,261	8,860	2,149	0,204	8,860	2,145	0,188	8,860	2,240	0,155	8,860	2,208	0,428	8,860	2,229	0,462	8,860	2,256	1,593	8,860	2,191	1,664	8,860	2,145	2,413	8,860	2,166	5,571	8,860	2,071	2,479
8,880	2,172	0,205	8,880	2,178	0,186	8,880	2,187	0,229	8,880	2,118	0,258	8,880	2,117	0,256	8,880	2,154	0,228	8,880	2,150	0,187	8,880	2,245	0,157	8,880	2,214	0,441	8,880	2,235	0,477	8,880	2,262	1,653	8,880	2,196	1,723	8,880	2,150	2,508	8,880	2,172	5,708	8,880	2,076	2,584
8,900	2,177	0,206	8,900	2,184	0,187	8,900	2,192	0,231	8,900	2,124	0,255	8,900	2,123	0,257	8,900	2,160	0,210	8,900	2,155	0,187	8,900	2,251	0,158	8,900	2,219	0,454	8,900	2,240	0,489	8,900	2,267	1,695	8,900	2,201	1,785	8,900	2,155	2,600	8,900	2,177	5,837	8,900	2,081	2,690
8,920	2,182	0,215	8,920	2,189	0,187	8,920	2,197	0,234	8,920	2,129	0,253	8,920	2,128	0,257	8,920	2,165	0,207	8,920	2,160	0,187	8,920	2,257	0,165	8,920	2,224	0,465	8,920	2,245	0,506	8,920	2,272	1,717	8,920	2,206	1,845	8,920	2,160	2,693	8,920	2,182	5,953	8,920	2,087	2,801
8,940	2,187	0,211	8,940	2,194	0,189	8,940	2,203	0,238	8,940	2,135	0,252	8,940	2,133	0,257	8,940	2,170	0,208	8,940	2,166	0,201	8,940	2,262	0,162	8,940	2,230	0,486	8,940	2,251	0,521	8,940	2,278	1,798	8,940	2,211	1,864	8,940	2,166	2,789	8,940	2,187	6,053	8,940	2,092	2,917
8,960	2,192	0,213	8,960	2,199	0,188	8,960	2,208	0,242	8,960	2,140	0,251	8,960	2,139	0,258	8,960	2,176	0,210	8,960	2,171	0,193	8,960	2,267	0,161	8,960	2,235	0,494	8,960	2,256	0,537	8,960	2,283	1,874	8,960	2,217	1,986	8,960	2,172	2,887	8,960	2,192	6,135	8,960	2,097	3,037
8,980	2,198	0,215	8,980	2,204	0,191	8,980	2,213	0,247	8,980	2,145	0,250	8,980	2,144	0,257	8,980	2,181	0,212	8,980	2,177	0,193	8,980	2,273	0,167	8,980	2,241	0,510	8,980	2,261	0,554	8,980	2,289	1,951	8,980	2,222	2,057	8,980	2,177	2,986	8,980	2,198	6,197	8,980	2,103	3,161
9,000	2,203	0,218	9,000	2,209	0,194	9,000	2,219	0,251	9,000	2,150	0,251	9,000	2,149	0,259	9,000	2,186	0,214	9,000	2,182	0,195	9,000	2,278	0,170	9,000	2,246	0,525	9,000	2,266	0,571	9,000	2,294	2,010	9,000	2,227	2,127	9,000	2,182	3,087	9,000	2,203	6,237	9,000	2,108	3,288
9,020	2,208	0,222	9,020	2,214	0,196	9,020	2,224	0,257	9,020	2,156	0,252	9,020	2,154	0,261	9,020	2,191	0,217	9,020	2,187	0,198	9,020	2,283	0,173	9,020	2,251	0,537	9,020	2,271	0,588	9,020	2,299	2,041	9,020	2,233	2,195	9,020	2,187	3,190	9,020	2,208	6,255	9,020	2,113	3,419
9,040	2,213	0,226	9,040	2,220	0,200	9,040	2,229	0,263	9,040	2,161	0,252	9,040	2,160	0,263	9,040	2,196	0,221	9,040	2,192	0,201	9,040	2,288	0,175	9,040	2,256	0,554	9,040	2,278	0,610	9,040	2,305	2,088	9,040	2,238	2,262	9,040	2,192	3,296	9,040	2,214	6,250	9,040	2,119	3,554
9,060	2,219	0,229	9,060	2,225	0,204	9,060	2,235	0,268	9,060	2,167	0,253	9,060	2,165	0,265	9,060	2,201	0,224	9,060	2,196	0,204	9,060	2,293	0,178	9,060	2,262	0,575	9,060	2,282	0,665	9,060	2,309	2,131	9,060	2,243	2,330	9,060	2,197	3,399	9,060	2,219	6,224	9,060	2,124	3,691
9,080	2,224	0,236	9,080	2,231	0,208	9,080	2,240	0,275	9,080	2,172	0,256	9,080	2,170	0,268	9,080	2,207	0,228	9,080	2,202	0,209	9,080	2,299	0,182	9,080	2,267	0,575	9,080	2,288	0,668	9,080	2,315	2,171	9,080	2,249	2,398	9,080	2,203	3,501	9,080	2,224	6,179	9,080	2,129	3,832
9,100	2,230	0,241	9,100	2,236	0,212	9,100	2,245	0,282	9,100	2,177	0,239	9,100	2,176	0,272	9,100	2,212	0,233	9,100	2,208	0,214	9,100	2,304	0,185	9,100	2,272	0,603	9,100	2,293	0,671	9,100	2,320	2,185	9,100	2,254	2,463	9,100	2,208	3,602	9,100	2,230	6,116	9,100	2,135	3,977
9,120	2,235	0,246	9,120	2,241	0,216	9,120	2,250	0,283	9,120	2,182	0,256	9,120	2,181	0,277	9,120	2,217	0,238	9,120	2,213	0,219	9,120	2,309	0,189	9,120	2,277	0,602	9,120	2,298	0,696	9,120	2,326	2,229	9,120	2,259	2,527	9,120	2,213	3,700	9,120	2,235	6,036	9,120	2,140	4,123
9,140	2,240	0,252	9,140	2,247	0,222	9,140	2,256	0,294	9,140	2,188	0,263	9,140	2,186	0,281	9,140	2,223	0,244	9,140	2,218	0,225	9,140	2,315	0,192	9,140	2,283	0,632	9,140	2,304	0,710	9,140	2,330	2,251	9,140	2,265	2,585	9,140	2,219	3,792	9,140	2,240	5,943	9,140	2,146	4,272
9,160	2,245	0,259	9,160	2,252	0,232	9,160	2,261	0,305	9,160	2,192	0,267	9,160	2,191	0,286	9,160	2,227	0,249	9,160	2,224	0,232	9,160	2,320	0,196	9,160	2,288	0,669	9,160	2,309	0,727	9,160	2,336	2,264	9,160	2,270	2,642	9,160	2,224	3,878	9,160	2,245	5,834	9,160	2,151	4,420
