Zeit (s) Messreihe #1;Spannung, Ch A (V) Messreihe #1;Spannung, Ch B (V) Messreihe #1;Zeit (s) Ringkern 1 Schalter Links;Spannung, Ch A (V) Ringkern 1 Schalter Links;Spannung, Ch B (V) Ringkern 1 Schalter Links;Zeit (s) RK1 Schalter links R_V;Spannung, Ch A (V) RK1 Schalter links R_V;Spannung, Ch B (V) RK1 Schalter links R_V;Zeit (s) Messreihe #4;Spannung, Ch A (V) Messreihe #4;Spannung, Ch B (V) Messreihe #4;Zeit (s) Messreihe #5;Spannung, Ch A (V) Messreihe #5;Spannung, Ch B (V) Messreihe #5;Zeit (s) Messreihe #6;Spannung, Ch A (V) Messreihe #6;Spannung, Ch B (V) Messreihe #6;Zeit (s) Messreihe #7;Spannung, Ch A (V) Messreihe #7;Spannung, Ch B (V) Messreihe #7;Zeit (s) Messreihe #8;Spannung, Ch A (V) Messreihe #8;Spannung, Ch B (V) Messreihe #8;Zeit (s) Messreihe #9;Spannung, Ch A (V) Messreihe #9;Spannung, Ch B (V) Messreihe #9;Zeit (s) Messreihe #10;Spannung, Ch A (V) Messreihe #10;Spannung, Ch B (V) Messreihe #10;Zeit (s) Messreihe #11;Spannung, Ch A (V) Messreihe #11;Spannung, Ch B (V) Messreihe #11;Zeit (s) Messreihe #12;Spannung, Ch A (V) Messreihe #12;Spannung, Ch B (V) Messreihe #12;Zeit (s) Messreihe #13;Spannung, Ch A (V) Messreihe #13;Spannung, Ch B (V) Messreihe #13;Zeit (s) Messreihe #14;Spannung, Ch A (V) Messreihe #14;Spannung, Ch B (V) Messreihe #14;Zeit (s) Messreihe #15;Spannung, Ch A (V) Messreihe #15;Spannung, Ch B (V) Messreihe #15;Zeit (s) Messreihe #16;Spannung, Ch A (V) Messreihe #16;Spannung, Ch B (V) Messreihe #16
;;;;;;136,000;-5,572;-0,680;;;;136,000;0,027;-0,056;136,000;-0,411;-0,754;136,000;3,904E-4;-0,617;136,000;3,639;0,045;136,000;-0,503;0,026;;;;;;;136,000;3,035;0,005;136,000;2,085;0,006;136,000;-0,109;-0,643;136,000;-0,735;-0,998;136,000;-0,998;-1,013
;;;;;;136,050;-5,585;-0,680;;;;136,050;0,027;-0,057;136,050;-0,411;-0,754;136,050;6,553E-4;-0,618;136,050;3,645;0,044;136,050;-0,504;0,025;;;;;;;136,050;3,059;0,005;136,050;2,085;0,006;136,050;-0,108;-0,643;136,050;-0,736;-0,998;136,050;-0,998;-1,011
;;;;;;136,100;-5,587;-0,680;;;;136,100;0,028;-0,055;136,100;-0,410;-0,755;136,100;3,770E-4;-0,617;136,100;3,651;0,044;136,100;-0,505;0,026;;;;;;;136,100;3,063;0,005;136,100;2,085;0,005;136,100;-0,107;-0,642;136,100;-0,737;-0,998;136,100;-0,998;-1,012
;;;;;;136,150;-5,616;-0,681;;;;136,150;0,029;-0,055;136,150;-0,409;-0,754;136,150;2,512E-4;-0,618;136,150;3,657;0,044;136,150;-0,502;0,025;;;;;;;136,150;3,075;0,005;136,150;2,085;0,007;136,150;-0,105;-0,642;136,150;-0,739;-0,998;136,150;-0,998;-1,011
;;;;;;136,200;-5,621;-0,680;;;;136,200;0,029;-0,054;136,200;-0,408;-0,754;136,200;4,001E-4;-0,617;136,200;3,662;0,045;136,200;-0,502;0,026;;;;;;;136,200;3,090;0,005;136,200;2,085;0,006;136,200;-0,105;-0,640;136,200;-0,739;-0,998;136,200;-0,998;-1,013
;;;;;;136,250;-5,631;-0,681;;;;136,250;0,030;-0,054;136,250;-0,407;-0,754;136,250;3,501E-4;-0,618;136,250;3,667;0,044;136,250;-0,502;0,025;;;;;;;136,250;3,109;0,006;136,250;2,085;0,006;136,250;-0,103;-0,640;136,250;-0,741;-0,998;136,250;-0,998;-1,011
;;;;;;136,300;-5,658;-0,681;;;;136,300;0,030;-0,052;136,300;-0,405;-0,755;136,300;3,672E-4;-0,617;136,300;3,672;0,044;136,300;-0,502;0,026;;;;;;;136,300;3,135;0,005;136,300;2,088;0,005;136,300;-0,102;-0,639;136,300;-0,742;-0,998;136,300;-0,998;-1,013
;;;;;;136,350;-5,689;-0,681;;;;136,350;0,032;-0,052;136,350;-0,405;-0,754;136,350;3,428E-4;-0,618;136,350;3,686;0,045;136,350;-0,502;0,025;;;;;;;136,350;3,179;0,006;136,350;2,102;0,006;136,350;-0,101;-0,639;136,350;-0,741;-0,998;136,350;-0,998;-1,011
;;;;;;136,400;-5,711;-0,681;;;;136,400;0,032;-0,051;136,400;-0,405;-0,755;136,400;2,976E-4;-0,617;136,400;3,701;0,045;136,400;-0,502;0,026;;;;;;;136,400;3,198;0,005;136,400;2,124;0,005;136,400;-0,099;-0,637;136,400;-0,742;-0,998;136,400;-0,998;-1,013
;;;;;;136,450;-5,714;-0,681;;;;136,450;0,033;-0,052;136,450;-0,405;-0,754;136,450;5,710E-4;-0,618;136,450;3,714;0,045;136,450;-0,502;0,025;;;;;;;136,450;3,216;0,006;136,450;2,150;0,007;136,450;-0,096;-0,637;136,450;-0,743;-0,999;136,450;-0,998;-1,012
;;;;;;136,500;-5,717;-0,681;;;;136,500;0,033;-0,050;136,500;-0,405;-0,755;136,500;2,952E-4;-0,617;136,500;3,724;0,045;136,500;-0,502;0,026;;;;;;;136,500;3,255;0,005;136,500;2,183;0,006;136,500;-0,095;-0,635;136,500;-0,746;-0,999;136,500;-0,998;-1,013
;;;;;;136,550;-5,745;-0,681;;;;136,550;0,033;-0,051;136,550;-0,405;-0,754;136,550;2,317E-4;-0,618;136,550;3,726;0,045;136,550;-0,502;0,024;;;;;;;136,550;3,273;0,006;136,550;2,207;0,006;136,550;-0,092;-0,634;136,550;-0,749;-0,999;136,550;-0,998;-1,012
;;;;;;136,600;-5,762;-0,681;;;;136,600;0,034;-0,049;136,600;-0,403;-0,754;136,600;4,941E-4;-0,617;136,600;3,733;0,045;136,600;-0,508;0,026;;;;;;;136,600;3,274;0,005;136,600;2,233;0,006;136,600;-0,090;-0,632;136,600;-0,751;-0,999;136,600;-0,998;-1,012
;;;;;;136,650;-5,763;-0,681;;;;136,650;0,034;-0,050;136,650;-0,402;-0,754;136,650;4,600E-4;-0,618;136,650;3,736;0,045;136,650;-0,509;0,024;;;;;;;136,650;3,280;0,006;136,650;2,264;0,007;136,650;-0,087;-0,631;136,650;-0,752;-0,999;136,650;-0,998;-1,011
;;;;;;136,700;-5,765;-0,681;;;;136,700;0,034;-0,049;136,700;-0,401;-0,754;136,700;4,868E-4;-0,617;136,700;3,745;0,045;136,700;-0,509;0,025;;;;;;;136,700;3,310;0,005;136,700;2,280;0,006;136,700;-0,085;-0,628;136,700;-0,753;-0,999;136,700;-0,998;-1,013
;;;;;;136,750;-5,768;-0,682;;;;136,750;0,035;-0,050;136,750;-0,400;-0,754;136,750;3,196E-4;-0,618;136,750;3,753;0,045;136,750;-0,510;0,024;;;;;;;136,750;3,350;0,006;136,750;2,309;0,007;136,750;-0,083;-0,628;136,750;-0,753;-0,999;136,750;-0,998;-1,012
;;;;;;136,800;-5,774;-0,681;;;;136,800;0,035;-0,049;136,800;-0,398;-0,754;136,800;4,783E-4;-0,617;136,800;3,770;0,045;136,800;-0,510;0,025;;;;;;;136,800;3,367;0,005;136,800;2,328;0,006;136,800;-0,080;-0,626;136,800;-0,753;-0,999;136,800;-0,998;-1,012
;;;;;;136,850;-5,784;-0,681;;;;136,850;0,034;-0,050;136,850;-0,398;-0,754;136,850;6,455E-4;-0,618;136,850;3,777;0,045;136,850;-0,510;0,024;;;;;;;136,850;3,368;0,006;136,850;2,329;0,007;136,850;-0,079;-0,625;136,850;-0,754;-0,999;136,850;-0,998;-1,012
;;;;;;136,900;-5,789;-0,681;;;;136,900;0,034;-0,049;136,900;-0,396;-0,754;136,900;3,428E-4;-0,617;136,900;3,780;0,045;136,900;-0,510;0,025;;;;;;;136,900;3,368;0,005;136,900;2,345;0,005;136,900;-0,079;-0,624;136,900;-0,757;-0,999;136,900;-0,998;-1,012
;;;;;;136,950;-5,805;-0,682;;;;136,950;0,034;-0,050;136,950;-0,395;-0,754;136,950;3,342E-4;-0,618;136,950;3,784;0,045;136,950;-0,510;0,024;;;;;;;136,950;3,368;0,006;136,950;2,351;0,007;136,950;-0,077;-0,624;136,950;-0,761;-1,000;136,950;-0,998;-1,011
;;;;;;137,000;-5,811;-0,681;;;;137,000;0,035;-0,049;137,000;-0,394;-0,754;137,000;5,137E-4;-0,617;137,000;3,790;0,045;137,000;-0,511;0,025;;;;;;;137,000;3,369;0,005;137,000;2,361;0,006;137,000;-0,076;-0,622;137,000;-0,762;-0,999;137,000;-0,998;-1,013
;;;;;;137,050;-5,818;-0,682;;;;137,050;0,036;-0,049;137,050;-0,393;-0,754;137,050;2,207E-4;-0,618;137,050;3,796;0,046;137,050;-0,511;0,024;;;;;;;137,050;3,368;0,006;137,050;2,364;0,007;137,050;-0,073;-0,621;137,050;-0,764;-1,000;137,050;-0,998;-1,011
;;;;;;137,100;-5,831;-0,682;;;;137,100;0,036;-0,047;137,100;-0,393;-0,754;137,100;5,698E-4;-0,617;137,100;3,800;0,045;137,100;-0,516;0,025;;;;;;;137,100;3,369;0,005;137,100;2,372;0,006;137,100;-0,071;-0,618;137,100;-0,765;-0,999;137,100;-0,998;-1,013
;;;;;;137,150;-5,834;-0,681;;;;137,150;0,036;-0,049;137,150;-0,392;-0,754;137,150;7,664E-4;-0,618;137,150;3,804;0,046;137,150;-0,517;0,024;;;;;;;137,150;3,369;0,006;137,150;2,400;0,007;137,150;-0,069;-0,618;137,150;-0,766;-1,000;137,150;-0,998;-1,011
;;;;;;137,200;-5,849;-0,682;;;;137,200;0,038;-0,046;137,200;-0,392;-0,754;137,200;5,479E-4;-0,617;137,200;3,808;0,045;137,200;-0,520;0,024;;;;;;;137,200;3,369;0,006;137,200;2,404;0,006;137,200;-0,068;-0,616;137,200;-0,766;-0,999;137,200;-0,998;-1,012
;;;;;;137,250;-5,859;-0,682;;;;137,250;0,038;-0,047;137,250;-0,392;-0,754;137,250;4,502E-4;-0,618;137,250;3,816;0,046;137,250;-0,521;0,023;;;;;;;137,250;3,369;0,006;137,250;2,409;0,007;137,250;-0,067;-0,615;137,250;-0,766;-1,000;137,250;-0,998;-1,011
;;;;;;137,300;-5,859;-0,682;;;;137,300;0,038;-0,046;137,300;-0,391;-0,754;137,300;2,659E-4;-0,617;137,300;3,823;0,046;137,300;-0,522;0,024;;;;;;;137,300;3,369;0,006;137,300;2,418;0,006;137,300;-0,065;-0,612;137,300;-0,768;-1,000;137,300;-0,998;-1,012
;;;;;;137,350;-5,861;-0,682;;;;137,350;0,039;-0,047;137,350;-0,391;-0,754;137,350;3,611E-4;-0,618;137,350;3,831;0,046;137,350;-0,522;0,023;;;;;;;137,350;3,369;0,006;137,350;2,422;0,007;137,350;-0,062;-0,611;137,350;-0,769;-1,000;137,350;-0,998;-1,011
;;;;;;137,400;-5,868;-0,682;;;;137,400;0,040;-0,045;137,400;-0,391;-0,754;137,400;1,768E-4;-0,617;137,400;3,841;0,046;137,400;-0,522;0,024;;;;;;;137,400;3,372;0,005;137,400;2,448;0,006;137,400;-0,059;-0,608;137,400;-0,771;-1,000;137,400;-0,998;-1,013
;;;;;;137,450;-5,869;-0,682;;;;137,450;0,041;-0,045;137,450;-0,391;-0,754;137,450;2,415E-4;-0,619;137,450;3,848;0,046;137,450;-0,523;0,023;;;;;;;137,450;3,373;0,006;137,450;2,450;0,007;137,450;-0,057;-0,607;137,450;-0,772;-1,001;137,450;-0,998;-1,011
;;;;;;137,500;-5,869;-0,682;;;;137,500;0,041;-0,044;137,500;-0,389;-0,754;137,500;3,599E-4;-0,617;137,500;3,856;0,046;137,500;-0,523;0,024;;;;;;;137,500;3,376;0,005;137,500;2,450;0,006;137,500;-0,056;-0,604;137,500;-0,773;-1,000;137,500;-0,998;-1,013
;;;;;;137,550;-5,869;-0,682;;;;137,550;0,041;-0,045;137,550;-0,387;-0,753;137,550;3,489E-4;-0,618;137,550;3,857;0,046;137,550;-0,523;0,023;;;;;;;137,550;3,410;0,006;137,550;2,450;0,007;137,550;-0,055;-0,604;137,550;-0,774;-1,001;137,550;-0,998;-1,011
;;;;;;137,600;-5,869;-0,682;;;;137,600;0,041;-0,044;137,600;-0,385;-0,754;137,600;6,223E-4;-0,617;137,600;3,857;0,046;137,600;-0,523;0,024;;;;;;;137,600;3,428;0,005;137,600;2,453;0,006;137,600;-0,052;-0,600;137,600;-0,776;-1,000;137,600;-0,997;-1,012
;;;;;;137,650;-5,869;-0,682;;;;137,650;0,041;-0,045;137,650;-0,383;-0,754;137,650;1,196E-5;-0,619;137,650;3,857;0,046;137,650;-0,523;0,022;;;;;;;137,650;3,443;0,006;137,650;2,468;0,007;137,650;-0,050;-0,599;137,650;-0,778;-1,001;137,650;-0,998;-1,012
;;;;;;137,700;-5,869;-0,682;;;;137,700;0,042;-0,043;137,700;-0,383;-0,754;137,700;3,684E-4;-0,617;137,700;3,857;0,046;137,700;-0,523;0,024;;;;;;;137,700;3,473;0,005;137,700;2,468;0,006;137,700;-0,048;-0,596;137,700;-0,778;-1,000;137,700;-0,998;-1,013
;;;;;;137,750;-5,869;-0,682;;;;137,750;0,042;-0,044;137,750;-0,383;-0,753;137,750;5,564E-4;-0,618;137,750;3,857;0,046;137,750;-0,523;0,023;;;;;;;137,750;3,500;0,006;137,750;2,485;0,007;137,750;-0,047;-0,594;137,750;-0,779;-1,001;137,750;-0,998;-1,011
;;;;;;137,800;-5,869;-0,681;;;;137,800;0,043;-0,042;137,800;-0,383;-0,754;137,800;1,707E-4;-0,617;137,800;3,857;0,046;137,800;-0,523;0,024;;;;;;;137,800;3,510;0,005;137,800;2,486;0,006;137,800;-0,045;-0,591;137,800;-0,779;-1,001;137,800;-0,998;-1,013
;;;;;;137,850;-5,869;-0,682;;;;137,850;0,043;-0,043;137,850;-0,382;-0,753;137,850;6,138E-4;-0,618;137,850;3,857;0,046;137,850;-0,523;0,023;;;;;;;137,850;3,550;0,006;137,850;2,497;0,007;137,850;-0,043;-0,590;137,850;-0,780;-1,001;137,850;-0,998;-1,012
;;;;;;137,900;-5,869;-0,681;;;;137,900;0,043;-0,042;137,900;-0,382;-0,754;137,900;2,744E-4;-0,617;137,900;3,859;0,046;137,900;-0,523;0,024;;;;;;;137,900;3,591;0,005;137,900;2,508;0,006;137,900;-0,043;-0,588;137,900;-0,780;-1,001;137,900;-0,998;-1,013
;;;;;;137,950;-5,869;-0,682;;;;137,950;0,043;-0,043;137,950;-0,382;-0,753;137,950;7,041E-4;-0,618;137,950;3,868;0,046;137,950;-0,523;0,023;;;;;;;137,950;3,603;0,006;137,950;2,510;0,007;137,950;-0,042;-0,588;137,950;-0,781;-1,001;137,950;-0,998;-1,012
;;;;;;138,000;-5,869;-0,682;;;;138,000;0,044;-0,042;138,000;-0,382;-0,754;138,000;2,720E-4;-0,617;138,000;3,887;0,046;138,000;-0,523;0,024;;;;;;;138,000;3,603;0,006;138,000;2,534;0,006;138,000;-0,038;-0,584;138,000;-0,784;-1,001;138,000;-0,998;-1,012
;;;;;;138,050;-5,870;-0,682;;;;138,050;0,044;-0,043;138,050;-0,382;-0,753;138,050;6,870E-4;-0,618;138,050;3,916;0,047;138,050;-0,523;0,023;;;;;;;138,050;3,603;0,006;138,050;2,534;0,007;138,050;-0,035;-0,582;138,050;-0,789;-1,002;138,050;-0,998;-1,012
;;;;;;138,100;-5,879;-0,682;;;;138,100;0,044;-0,042;138,100;-0,382;-0,754;138,100;4,624E-4;-0,617;138,100;3,919;0,046;138,100;-0,523;0,023;;;;;;;138,100;3,602;0,005;138,100;2,535;0,006;138,100;-0,033;-0,577;138,100;-0,791;-1,001;138,100;-0,998;-1,013
;;;;;;138,150;-5,885;-0,682;;;;138,150;0,044;-0,043;138,150;-0,382;-0,753;138,150;4,502E-4;-0,618;138,150;3,919;0,046;138,150;-0,524;0,022;;;;;;;138,150;3,603;0,006;138,150;2,535;0,007;138,150;-0,030;-0,574;138,150;-0,791;-1,002;138,150;-0,998;-1,011
;;;;;;138,200;-5,890;-0,682;;;;138,200;0,044;-0,041;138,200;-0,382;-0,754;138,200;3,770E-4;-0,617;138,200;3,925;0,047;138,200;-0,524;0,023;;;;;;;138,200;3,603;0,005;138,200;2,558;0,006;138,200;-0,029;-0,570;138,200;-0,791;-1,001;138,200;-0,998;-1,013
;;;;;;138,250;-5,903;-0,682;;;;138,250;0,044;-0,043;138,250;-0,381;-0,753;138,250;3,330E-4;-0,618;138,250;3,939;0,047;138,250;-0,523;0,023;;;;;;;138,250;3,602;0,006;138,250;2,570;0,007;138,250;-0,027;-0,568;138,250;-0,791;-1,002;138,250;-0,998;-1,011
;;;;;;138,300;-5,909;-0,682;;;;138,300;0,045;-0,041;138,300;-0,380;-0,754;138,300;4,783E-4;-0,617;138,300;3,942;0,046;138,300;-0,523;0,024;;;;;;;138,300;3,602;0,005;138,300;2,587;0,006;138,300;-0,024;-0,564;138,300;-0,791;-1,001;138,300;-0,998;-1,013
;;;;;;138,350;-5,909;-0,682;;;;138,350;0,045;-0,042;138,350;-0,380;-0,754;138,350;3,965E-4;-0,618;138,350;3,952;0,047;138,350;-0,523;0,023;;;;;;;138,350;3,603;0,006;138,350;2,621;0,007;138,350;-0,020;-0,560;138,350;-0,791;-1,002;138,350;-0,998;-1,012
;;;;;;138,400;-5,916;-0,682;;;;138,400;0,046;-0,041;138,400;-0,379;-0,754;138,400;6,040E-4;-0,617;138,400;3,975;0,046;138,400;-0,523;0,024;;;;;;;138,400;3,611;0,005;138,400;2,621;0,006;138,400;-0,017;-0,554;138,400;-0,791;-1,001;138,400;-0,998;-1,012
;;;;;;138,450;-5,945;-0,682;;;;138,450;0,046;-0,041;138,450;-0,378;-0,753;138,450;4,331E-4;-0,618;138,450;4,010;0,047;138,450;-0,523;0,022;;;;;;;138,450;3,622;0,006;138,450;2,658;0,007;138,450;-0,013;-0,549;138,450;-0,791;-1,002;138,450;-0,998;-1,011
;;;;;;138,500;-5,965;-0,682;;;;138,500;0,047;-0,039;138,500;-0,377;-0,754;138,500;1,926E-4;-0,617;138,500;4,016;0,047;138,500;-0,523;0,023;;;;;;;138,500;3,625;0,006;138,500;2,670;0,006;138,500;-0,011;-0,542;138,500;-0,791;-1,001;138,500;-0,998;-1,013
;;;;;;138,550;-5,970;-0,682;;;;138,550;0,047;-0,041;138,550;-0,378;-0,753;138,550;4,331E-4;-0,618;138,550;4,016;0,047;138,550;-0,525;0,023;;;;;;;138,550;3,634;0,007;138,550;2,670;0,007;138,550;-0,007;-0,537;138,550;-0,790;-1,002;138,550;-0,998;-1,012
;;;;;;138,600;-5,997;-0,683;;;;138,600;0,047;-0,040;138,600;-0,377;-0,754;138,600;3,611E-4;-0,617;138,600;4,017;0,047;138,600;-0,533;0,023;;;;;;;138,600;3,650;0,005;138,600;2,670;0,006;138,600;-0,005;-0,529;138,600;-0,791;-1,001;138,600;-0,998;-1,012
;;;;;;138,650;-6,010;-0,682;;;;138,650;0,047;-0,041;138,650;-0,377;-0,753;138,650;7,175E-4;-0,618;138,650;4,027;0,048;138,650;-0,536;0,022;;;;;;;138,650;3,656;0,006;138,650;2,686;0,007;138,650;-0,005;-0,527;138,650;-0,791;-1,002;138,650;-0,998;-1,011
;;;;;;138,700;-6,010;-0,682;;;;138,700;0,047;-0,039;138,700;-0,377;-0,754;138,700;4,063E-4;-0,617;138,700;4,035;0,047;138,700;-0,538;0,022;;;;;;;138,700;3,656;0,006;138,700;2,733;0,007;138,700;-0,004;-0,522;138,700;-0,791;-1,001;138,700;-0,998;-1,013
;;;;;;138,750;-6,014;-0,682;;;;138,750;0,047;-0,041;138,750;-0,377;-0,753;138,750;3,708E-4;-0,618;138,750;4,049;0,048;138,750;-0,539;0,021;;;;;;;138,750;3,659;0,006;138,750;2,733;0,008;138,750;-0,003;-0,520;138,750;-0,791;-1,002;138,750;-0,998;-1,011
;;;;;;138,800;-6,019;-0,682;;;;138,800;0,048;-0,039;138,800;-0,377;-0,754;138,800;5,833E-4;-0,617;138,800;4,060;0,047;138,800;-0,539;0,022;;;;;;;138,800;3,712;0,006;138,800;2,733;0,006;138,800;3,342E-4;-0,514;138,800;-0,791;-1,001;138,800;-0,998;-1,012
;;;;;;138,850;-6,019;-0,682;;;;138,850;0,048;-0,040;138,850;-0,377;-0,753;138,850;4,392E-4;-0,618;138,850;4,064;0,048;138,850;-0,540;0,021;;;;;;;138,850;3,761;0,006;138,850;2,733;0,008;138,850;6,663E-4;-0,511;138,850;-0,791;-1,002;138,850;-0,998;-1,011
;;;;;;138,900;-6,023;-0,682;;;;138,900;0,048;-0,039;138,900;-0,377;-0,754;138,900;2,854E-4;-0,617;138,900;4,075;0,047;138,900;-0,540;0,022;;;;;;;138,900;3,805;0,005;138,900;2,733;0,006;138,900;1,694E-4;-0,507;138,900;-0,791;-1,001;138,900;-0,998;-1,013
;;;;;;138,950;-6,025;-0,683;;;;138,950;0,049;-0,040;138,950;-0,378;-0,754;138,950;3,623E-4;-0,618;138,950;4,082;0,048;138,950;-0,544;0,021;;;;;;;138,950;3,830;0,006;138,950;2,733;0,007;138,950;3,879E-4;-0,506;138,950;-0,791;-1,002;138,950;-0,998;-1,011
;;;;;;139,000;-6,031;-0,682;;;;139,000;0,049;-0,038;139,000;-0,377;-0,754;139,000;1,487E-4;-0,617;139,000;4,107;0,047;139,000;-0,552;0,021;;;;;;;139,000;3,870;0,006;139,000;2,802;0,006;139,000;3,123E-4;-0,503;139,000;-0,791;-1,001;139,000;-0,998;-1,013
;;;;;;139,050;-6,037;-0,683;;;;139,050;0,049;-0,039;139,050;-0,377;-0,754;139,050;5,930E-4;-0,618;139,050;4,128;0,048;139,050;-0,554;0,020;;;;;;;139,050;3,902;0,006;139,050;2,831;0,007;139,050;4,929E-4;-0,503;139,050;-0,791;-1,002;139,050;-0,998;-1,011
;;;;;;139,100;-6,043;-0,683;;;;139,100;0,050;-0,038;139,100;-0,377;-0,754;139,100;6,467E-4;-0,617;139,100;4,131;0,047;139,100;-0,555;0,021;;;;;;;139,100;3,908;0,005;139,100;2,844;0,006;139,100;4,575E-4;-0,501;139,100;-0,791;-1,001;139,100;-0,998;-1,013
;;;;;;139,150;-6,052;-0,682;;;;139,150;0,050;-0,039;139,150;-0,377;-0,753;139,150;6,113E-4;-0,618;139,150;4,144;0,048;139,150;-0,556;0,020;;;;;;;139,150;3,919;0,007;139,150;2,880;0,007;139,150;1,951E-4;-0,502;139,150;-0,791;-1,002;139,150;-0,998;-1,011
;;;;;;139,200;-6,056;-0,683;;;;139,200;0,051;-0,037;139,200;-0,376;-0,754;139,200;5,796E-4;-0,617;139,200;4,153;0,048;139,200;-0,557;0,020;;;;;;;139,200;3,921;0,006;139,200;2,881;0,006;139,200;4,612E-4;-0,499;139,200;-0,791;-1,001;139,200;-0,998;-1,013
;;;;;;139,250;-6,070;-0,683;;;;139,250;0,053;-0,037;139,250;-0,375;-0,753;139,250;6,125E-4;-0,618;139,250;4,155;0,048;139,250;-0,557;0,019;;;;;;;139,250;3,925;0,006;139,250;2,881;0,007;139,250;4,526E-4;-0,500;139,250;-0,792;-1,002;139,250;-0,998;-1,011
;;;;;;139,300;-6,114;-0,683;;;;139,300;0,053;-0,036;139,300;-0,375;-0,754;139,300;2,793E-4;-0,617;139,300;4,165;0,048;139,300;-0,562;0,020;;;;;;;139,300;3,932;0,006;139,300;2,881;0,006;139,300;2,170E-4;-0,499;139,300;-0,794;-1,001;139,300;-0,998;-1,013
;;;;;;139,350;-6,130;-0,683;;;;139,350;0,053;-0,037;139,350;-0,375;-0,753;139,350;2,073E-4;-0,618;139,350;4,172;0,049;139,350;-0,567;0,019;;;;;;;139,350;3,942;0,006;139,350;2,881;0,007;139,350;5,149E-4;-0,499;139,350;-0,797;-1,002;139,350;-0,998;-1,011
;;;;;;139,400;-6,130;-0,683;;;;139,400;0,053;-0,036;139,400;-0,375;-0,754;139,400;2,183E-4;-0,617;139,400;4,182;0,048;139,400;-0,569;0,019;;;;;;;139,400;3,945;0,005;139,400;2,881;0,006;139,400;1,304E-4;-0,498;139,400;-0,797;-1,001;139,400;-0,998;-1,012
;;;;;;139,450;-6,130;-0,683;;;;139,450;0,053;-0,037;139,450;-0,375;-0,753;139,450;2,646E-4;-0,618;139,450;4,188;0,049;139,450;-0,570;0,018;;;;;;;139,450;3,950;0,007;139,450;2,934;0,007;139,450;3,745E-4;-0,499;139,450;-0,797;-1,003;139,450;-0,998;-1,011
;;;;;;139,500;-6,131;-0,683;;;;139,500;0,055;-0,035;139,500;-0,375;-0,754;139,500;2,390E-4;-0,617;139,500;4,197;0,048;139,500;-0,572;0,019;;;;;;;139,500;3,955;0,006;139,500;2,999;0,006;139,500;3,416E-4;-0,497;139,500;-0,797;-1,001;139,500;-0,998;-1,012
;;;;;;139,550;-6,135;-0,683;;;;139,550;0,055;-0,036;139,550;-0,374;-0,753;139,550;3,940E-4;-0,618;139,550;4,204;0,049;139,550;-0,576;0,018;;;;;;;139,550;3,977;0,007;139,550;3,006;0,007;139,550;3,904E-4;-0,498;139,550;-0,797;-1,002;139,550;-0,998;-1,011
;;;;;;139,600;-6,138;-0,683;;;;139,600;0,056;-0,035;139,600;-0,373;-0,754;139,600;5,857E-4;-0,617;139,600;4,213;0,048;139,600;-0,578;0,019;;;;;;;139,600;3,998;0,006;139,600;3,048;0,007;139,600;8,643E-5;-0,497;139,600;-0,797;-1,001;139,600;-0,998;-1,013
;;;;;;139,650;-6,156;-0,683;;;;139,650;0,057;-0,035;139,650;-0,372;-0,753;139,650;5,039E-4;-0,618;139,650;4,224;0,049;139,650;-0,578;0,018;;;;;;;139,650;4,020;0,007;139,650;3,055;0,008;139,650;2,585E-4;-0,498;139,650;-0,797;-1,002;139,650;-0,997;-1,011
;;;;;;139,700;-6,162;-0,683;;;;139,700;0,058;-0,033;139,700;-0,372;-0,754;139,700;4,685E-4;-0,617;139,700;4,225;0,048;139,700;-0,579;0,018;;;;;;;139,700;4,065;0,006;139,700;3,076;0,007;139,700;6,602E-4;-0,496;139,700;-0,797;-1,001;139,700;-0,998;-1,013
;;;;;;139,750;-6,168;-0,683;;;;139,750;0,059;-0,034;139,750;-0,372;-0,753;139,750;4,038E-4;-0,618;139,750;4,228;0,049;139,750;-0,580;0,017;;;;;;;139,750;4,084;0,007;139,750;3,078;0,008;139,750;5,491E-4;-0,497;139,750;-0,800;-1,003;139,750;-0,998;-1,011
;;;;;;139,800;-6,187;-0,683;;;;139,800;0,060;-0,032;139,800;-0,371;-0,754;139,800;4,563E-4;-0,617;139,800;4,232;0,048;139,800;-0,583;0,018;;;;;;;139,800;4,100;0,006;139,800;3,077;0,007;139,800;3,135E-4;-0,496;139,800;-0,803;-1,002;139,800;-0,998;-1,013
;;;;;;139,850;-6,193;-0,684;;;;139,850;0,061;-0,033;139,850;-0,372;-0,753;139,850;5,527E-4;-0,618;139,850;4,238;0,049;139,850;-0,586;0,017;;;;;;;139,850;4,110;0,007;139,850;3,078;0,008;139,850;3,171E-4;-0,498;139,850;-0,806;-1,003;139,850;-0,998;-1,011
;;;;;;139,900;-6,235;-0,683;;;;139,900;0,060;-0,032;139,900;-0,372;-0,754;139,900;6,064E-4;-0,617;139,900;4,248;0,048;139,900;-0,588;0,017;;;;;;;139,900;4,110;0,006;139,900;3,078;0,007;139,900;2,231E-4;-0,496;139,900;-0,807;-1,002;139,900;-0,997;-1,013
