Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15	Zeit (s) Messreihe #16	Spannung, Ch A (V) Messreihe #16	Spannung, Ch B (V) Messreihe #16	Zeit (s) Messreihe #17	Spannung, Ch A (V) Messreihe #17	Spannung, Ch B (V) Messreihe #17	Zeit (s) Messreihe #18	Spannung, Ch A (V) Messreihe #18	Spannung, Ch B (V) Messreihe #18	Zeit (s) Messreihe #19	Spannung, Ch A (V) Messreihe #19	Spannung, Ch B (V) Messreihe #19	Zeit (s) Messreihe #20	Spannung, Ch A (V) Messreihe #20	Spannung, Ch B (V) Messreihe #20	Zeit (s) Messreihe #21	Spannung, Ch A (V) Messreihe #21	Spannung, Ch B (V) Messreihe #21	Zeit (s) Messreihe #22	Spannung, Ch A (V) Messreihe #22	Spannung, Ch B (V) Messreihe #22	Zeit (s) Messreihe #23	Spannung, Ch A (V) Messreihe #23	Spannung, Ch B (V) Messreihe #23	Zeit (s) Messreihe #24	Spannung, Ch A (V) Messreihe #24	Spannung, Ch B (V) Messreihe #24	Zeit (s) Messreihe #25	Spannung, Ch A (V) Messreihe #25	Spannung, Ch B (V) Messreihe #25	Zeit (s) Messreihe #26	Spannung, Ch A (V) Messreihe #26	Spannung, Ch B (V) Messreihe #26	Zeit (s) Messreihe #27	Spannung, Ch A (V) Messreihe #27	Spannung, Ch B (V) Messreihe #27	Zeit (s) Messreihe #28	Spannung, Ch A (V) Messreihe #28	Spannung, Ch B (V) Messreihe #28	Zeit (s) Messreihe #29	Spannung, Ch A (V) Messreihe #29	Spannung, Ch B (V) Messreihe #29	Zeit (s) Messreihe #30	Spannung, Ch A (V) Messreihe #30	Spannung, Ch B (V) Messreihe #30	Zeit (s) Messreihe #31	Spannung, Ch A (V) Messreihe #31	Spannung, Ch B (V) Messreihe #31	Zeit (s) Messreihe #32	Spannung, Ch A (V) Messreihe #32	Spannung, Ch B (V) Messreihe #32	Zeit (s) Messreihe #33	Spannung, Ch A (V) Messreihe #33	Spannung, Ch B (V) Messreihe #33	Zeit (s) Messreihe #34	Spannung, Ch A (V) Messreihe #34	Spannung, Ch B (V) Messreihe #34	Zeit (s) Messreihe #35	Spannung, Ch A (V) Messreihe #35	Spannung, Ch B (V) Messreihe #35	Zeit (s) Messreihe #36	Spannung, Ch A (V) Messreihe #36	Spannung, Ch B (V) Messreihe #36
						22,800	0,002	0,009	22,800	6,233	0,761	22,800	6,253	9,991	22,800	6,229	9,991	22,800	6,293	9,991	22,800	6,486	9,991	22,800	6,443	9,459	22,800	6,383	7,801	22,800	6,336	5,339	22,800	6,366	8,233	22,800	6,504	3,521	22,800	6,469	6,509	22,800	6,436	7,985	22,800	6,451	7,009	22,800	6,442	6,657	22,800	6,427	1,449	22,800	6,468	1,455				22,800	6,426	1,482	22,800	6,295	1,632	22,800	6,446	1,433	22,800	6,398	1,463																																				
						22,850	0,003	0,026	22,850	6,247	0,777	22,850	6,267	9,991	22,850	6,243	9,991	22,850	6,307	9,991	22,850	6,501	9,991	22,850	6,458	9,548	22,850	6,397	7,872	22,850	6,350	5,404	22,850	6,380	8,172	22,850	6,518	3,576	22,850	6,483	6,482	22,850	6,450	8,005	22,850	6,466	6,995	22,850	6,456	6,706	22,850	6,441	1,466	22,850	6,483	1,393				22,850	6,440	1,444	22,850	6,309	1,555	22,850	6,461	1,455	22,850	6,412	1,460																																				
						22,900	0,002	0,009	22,900	6,261	0,775	22,900	6,282	9,991	22,900	6,257	9,991	22,900	6,322	9,991	22,900	6,515	9,991	22,900	6,472	9,556	22,900	6,411	7,871	22,900	6,364	5,352	22,900	6,394	8,169	22,900	6,532	3,555	22,900	6,498	6,551	22,900	6,464	8,064	22,900	6,480	7,087	22,900	6,470	6,668	22,900	6,455	1,431	22,900	6,497	1,423				22,900	6,454	1,464	22,900	6,323	1,562	22,900	6,475	1,405	22,900	6,426	1,464																																				
									22,950	6,275	0,790	22,950	6,296	9,991	22,950	6,271	9,991	22,950	6,336	9,991	22,950	6,530	9,991	22,950	6,486	9,659	22,950	6,426	7,954	22,950	6,379	5,388	22,950	6,409	8,097	22,950	6,546	3,617	22,950	6,512	6,543	22,950	6,479	8,100	22,950	6,494	7,077	22,950	6,485	6,742	22,950	6,470	1,439	22,950	6,511	1,367				22,950	6,468	1,416	22,950	6,337	1,491	22,950	6,490	1,423	22,950	6,440	1,453																																				
									23,000	6,289	0,789	23,000	6,310	9,991	23,000	6,286	9,991	23,000	6,350	9,991	23,000	6,544	9,991	23,000	6,500	9,680	23,000	6,440	7,959	23,000	6,393	5,309	23,000	6,423	8,100	23,000	6,560	3,596	23,000	6,526	6,629	23,000	6,493	8,159	23,000	6,509	7,163	23,000	6,499	6,726	23,000	6,484	1,400	23,000	6,525	1,400				23,000	6,483	1,433	23,000	6,351	1,506	23,000	6,503	1,375	23,000	6,454	1,445																																				
									23,050	6,304	0,804	23,050	6,324	9,991	23,050	6,300	9,991	23,050	6,364	9,991	23,050	6,559	9,991	23,050	6,515	9,796	23,050	6,454	8,039	23,050	6,407	5,327	23,050	6,437	8,042	23,050	6,574	3,656	23,050	6,540	6,626	23,050	6,507	8,186	23,050	6,522	7,143	23,050	6,513	6,818	23,050	6,498	1,409	23,050	6,540	1,352				23,050	6,497	1,385	23,050	6,366	1,451	23,050	6,518	1,399	23,050	6,469	1,426																																				
									23,100	6,318	0,803	23,100	6,339	9,991	23,100	6,314	9,991	23,100	6,379	9,991	23,100	6,572	9,991	23,100	6,529	9,817	23,100	6,468	8,036	23,100	6,421	5,244	23,100	6,452	8,067	23,100	6,588	3,630	23,100	6,555	6,708	23,100	6,522	8,240	23,100	6,537	7,227	23,100	6,527	6,809	23,100	6,512	1,371	23,100	6,554	1,394				23,100	6,511	1,406	23,100	6,380	1,485	23,100	6,532	1,357	23,100	6,484	1,415																																				
									23,150	6,332	0,818	23,150	6,353	9,991	23,150	6,328	9,991	23,150	6,393	9,991	23,150	6,587	9,991	23,150	6,543	9,903	23,150	6,483	8,110	23,150	6,436	5,270	23,150	6,466	8,040	23,150	6,603	3,690	23,150	6,568	6,697	23,150	6,536	8,262	23,150	6,551	7,210	23,150	6,541	6,897	23,150	6,526	1,386	23,150	6,568	1,354				23,150	6,526	1,363	23,150	6,395	1,446	23,150	6,546	1,386	23,150	6,498	1,395																																				
									23,200	6,346	0,818	23,200	6,367	9,991	23,200	6,343	9,991	23,200	6,407	9,991	23,200	6,601	9,991	23,200	6,557	9,927	23,200	6,497	8,108	23,200	6,450	5,198	23,200	6,480	8,098	23,200	6,617	3,667	23,200	6,583	6,774	23,200	6,550	8,319	23,200	6,565	7,302	23,200	6,556	6,881	23,200	6,541	1,355	23,200	6,582	1,402				23,200	6,540	1,391	23,200	6,409	1,489	23,200	6,561	1,354	23,200	6,512	1,387																																				
									23,250	6,361	0,833	23,250	6,381	9,991	23,250	6,357	9,991	23,250	6,421	9,991	23,250	6,615	9,991	23,250	6,572	9,973	23,250	6,512	8,188	23,250	6,464	5,241	23,250	6,494	8,101	23,250	6,632	3,735	23,250	6,597	6,766	23,250	6,564	8,351	23,250	6,579	7,299	23,250	6,569	6,964	23,250	6,555	1,380	23,250	6,597	1,367				23,250	6,554	1,355	23,250	6,423	1,449	23,250	6,574	1,391	23,250	6,526	1,373																																				
									23,300	6,375	0,833	23,300	6,396	9,991	23,300	6,372	9,991	23,300	6,436	9,991	23,300	6,630	9,991	23,300	6,586	9,989	23,300	6,526	8,197	23,300	6,478	5,190	23,300	6,509	8,184	23,300	6,646	3,724	23,300	6,611	6,854	23,300	6,578	8,425	23,300	6,593	7,408	23,300	6,584	6,946	23,300	6,569	1,356	23,300	6,611	1,418				23,300	6,568	1,393	23,300	6,437	1,483	23,300	6,589	1,365	23,300	6,540	1,372																																				
									23,350	6,389	0,848	23,350	6,410	9,991	23,350	6,386	9,991	23,350	6,451	9,991	23,350	6,644	9,991	23,350	6,600	9,992	23,350	6,541	8,293	23,350	6,493	5,256	23,350	6,523	8,202	23,350	6,660	3,803	23,350	6,625	6,862	23,350	6,592	8,479	23,350	6,607	7,422	23,350	6,598	7,039	23,350	6,583	1,389	23,350	6,625	1,383				23,350	6,582	1,363	23,350	6,452	1,433	23,350	6,603	1,406	23,350	6,555	1,367																																				
									23,400	6,403	0,848	23,400	6,424	9,991	23,400	6,400	9,991	23,400	6,464	9,991	23,400	6,658	9,991	23,400	6,614	9,991	23,400	6,555	8,321	23,400	6,507	5,226	23,400	6,537	8,290	23,400	6,674	3,801	23,400	6,640	6,968	23,400	6,607	8,566	23,400	6,622	7,545	23,400	6,612	7,037	23,400	6,597	1,370	23,400	6,639	1,433				23,400	6,597	1,407	23,400	6,466	1,457	23,400	6,617	1,382	23,400	6,568	1,373																																				
									23,450	6,418	0,862	23,450	6,439	9,991	23,450	6,414	9,991	23,450	6,479	9,991	23,450	6,673	9,991	23,450	6,628	9,991	23,450	6,568	8,430	23,450	6,521	5,308	23,450	6,552	8,304	23,450	6,689	3,889	23,450	6,654	6,992	23,450	6,621	8,638	23,450	6,636	7,570	23,450	6,627	7,146	23,450	6,611	1,407	23,450	6,653	1,395				23,450	6,611	1,380	23,450	6,480	1,403	23,450	6,631	1,421	23,450	6,583	1,375																																				
									23,500	6,432	0,864	23,500	6,453	9,991	23,500	6,428	9,991	23,500	6,493	9,991	23,500	6,687	9,991	23,500	6,643	9,991	23,500	6,583	8,467	23,500	6,536	5,290	23,500	6,565	8,382	23,500	6,703	3,895	23,500	6,669	7,114	23,500	6,635	8,737	23,500	6,650	7,701	23,500	6,641	7,162	23,500	6,625	1,386	23,500	6,668	1,446				23,500	6,625	1,424	23,500	6,495	1,426	23,500	6,646	1,395	23,500	6,597	1,388																																				
									23,550	6,446	0,878	23,550	6,467	9,991	23,550	6,443	9,991	23,550	6,507	9,991	23,550	6,702	9,991	23,550	6,657	9,991	23,550	6,597	8,586	23,550	6,550	5,373	23,550	6,579	8,390	23,550	6,717	3,990	23,550	6,683	7,151	23,550	6,649	8,816	23,550	6,664	7,735	23,550	6,655	7,290	23,550	6,639	1,422	23,550	6,682	1,411				23,550	6,639	1,394	23,550	6,508	1,374	23,550	6,660	1,434	23,550	6,611	1,392																																				
									23,600	6,461	0,880	23,600	6,481	9,991	23,600	6,457	9,991	23,600	6,521	9,991	23,600	6,716	9,991	23,600	6,671	9,991	23,600	6,611	8,632	23,600	6,564	5,349	23,600	6,594	8,473	23,600	6,731	4,000	23,600	6,697	7,284	23,600	6,664	8,926	23,600	6,679	7,874	23,600	6,669	7,318	23,600	6,654	1,398	23,600	6,696	1,467				23,600	6,653	1,437	23,600	6,523	1,403	23,600	6,674	1,409	23,600	6,625	1,404																																				
									23,650	6,475	0,893	23,650	6,496	9,991	23,650	6,471	9,991	23,650	6,535	9,991	23,650	6,731	9,991	23,650	6,685	9,991	23,650	6,626	8,758	23,650	6,578	5,427	23,650	6,608	8,494	23,650	6,746	4,101	23,650	6,711	7,328	23,650	6,678	9,015	23,650	6,693	7,915	23,650	6,683	7,457	23,650	6,668	1,435	23,650	6,711	1,437				23,650	6,667	1,409	23,650	6,537	1,358	23,650	6,688	1,452	23,650	6,640	1,407																																				
									23,700	6,489	0,895	23,700	6,510	9,991	23,700	6,485	9,991	23,700	6,550	9,991	23,700	6,745	9,991	23,700	6,700	9,991	23,700	6,640	8,811	23,700	6,592	5,401	23,700	6,622	8,595	23,700	6,760	4,116	23,700	6,726	7,471	23,700	6,692	9,131	23,700	6,707	8,062	23,700	6,698	7,495	23,700	6,682	1,415	23,700	6,725	1,499				23,700	6,682	1,457	23,700	6,551	1,395	23,700	6,703	1,433	23,700	6,654	1,417																																				
									23,750	6,503	0,909	23,750	6,524	9,991	23,750	6,500	9,991	23,750	6,564	9,991	23,750	6,759	9,991	23,750	6,714	9,991	23,750	6,655	8,945	23,750	6,606	5,482	23,750	6,636	8,638	23,750	6,774	4,223	23,750	6,740	7,526	23,750	6,707	9,231	23,750	6,722	8,111	23,750	6,712	7,643	23,750	6,697	1,456	23,750	6,739	1,475				23,750	6,696	1,430	23,750	6,565	1,357	23,750	6,717	1,481	23,750	6,669	1,420																																				
									23,800	6,518	0,912	23,800	6,539	9,991	23,800	6,514	9,991	23,800	6,578	9,991	23,800	6,774	9,991	23,800	6,729	9,991	23,800	6,669	9,005	23,800	6,621	5,465	23,800	6,651	8,761	23,800	6,789	4,242	23,800	6,754	7,677	23,800	6,721	9,357	23,800	6,736	8,269	23,800	6,726	7,689	23,800	6,711	1,441	23,800	6,753	1,542				23,800	6,710	1,482	23,800	6,580	1,403	23,800	6,732	1,468	23,800	6,682	1,433																																				
									23,850	6,532	0,925	23,850	6,553	9,991	23,850	6,528	9,991	23,850	6,592	9,991	23,850	6,788	9,991	23,850	6,743	9,991	23,850	6,683	9,146	23,850	6,635	5,562	23,850	6,665	8,820	23,850	6,803	4,357	23,850	6,768	7,738	23,850	6,735	9,465	23,850	6,750	8,328	23,850	6,741	7,845	23,850	6,725	1,490	23,850	6,767	1,520				23,850	6,724	1,461	23,850	6,594	1,371	23,850	6,745	1,521	23,850	6,697	1,441																																				
									23,900	6,546	0,928	23,900	6,567	9,991	23,900	6,543	9,991	23,900	6,606	9,991	23,900	6,802	9,991	23,900	6,757	9,991	23,900	6,697	9,217	23,900	6,649	5,560	23,900	6,679	8,957	23,900	6,817	4,383	23,900	6,783	7,901	23,900	6,749	9,605	23,900	6,765	8,496	23,900	6,755	7,899	23,900	6,740	1,478	23,900	6,782	1,592				23,900	6,739	1,518	23,900	6,608	1,419	23,900	6,760	1,513	23,900	6,711	1,459																																				
									23,950	6,560	0,942	23,950	6,580	9,991	23,950	6,557	9,991	23,950	6,620	9,991	23,950	6,816	9,991	23,950	6,772	9,991	23,950	6,712	9,367	23,950	6,664	5,671	23,950	6,694	9,030	23,950	6,831	4,506	23,950	6,797	7,973	23,950	6,763	9,724	23,950	6,779	8,566	23,950	6,769	8,065	23,950	6,754	1,532	23,950	6,796	1,574				23,950	6,753	1,502	23,950	6,622	1,386	23,950	6,774	1,570	23,950	6,725	1,474																																				
									24,000	6,574	0,945	24,000	6,595	9,991	24,000	6,570	9,991	24,000	6,635	9,991	24,000	6,831	9,991	24,000	6,786	9,991	24,000	6,726	9,447	24,000	6,678	5,681	24,000	6,708	9,179	24,000	6,846	4,541	24,000	6,811	8,147	24,000	6,778	9,849	24,000	6,793	8,744	24,000	6,783	8,129	24,000	6,768	1,524	24,000	6,810	1,648				24,000	6,768	1,564	24,000	6,637	1,435	24,000	6,788	1,564	24,000	6,740	1,497																																				
									24,050	6,588	0,958	24,050	6,609	9,991	24,050	6,585	9,991	24,050	6,649	9,991	24,050	6,845	9,991	24,050	6,800	9,991	24,050	6,740	9,611	24,050	6,692	5,802	24,050	6,722	9,262	24,050	6,860	4,672	24,050	6,825	8,234	24,050	6,792	9,927	24,050	6,807	8,826	24,050	6,797	8,306	24,050	6,782	1,583	24,050	6,824	1,634				24,050	6,782	1,550	24,050	6,651	1,400	24,050	6,803	1,624	24,050	6,754	1,517																																				
									24,100	6,602	0,962	24,100	6,623	9,991	24,100	6,599	9,991	24,100	6,663	9,991	24,100	6,860	9,991	24,100	6,814	9,991	24,100	6,755	9,703	24,100	6,707	5,820	24,100	6,737	9,421	24,100	6,874	4,712	24,100	6,839	8,420	24,100	6,806	9,981	24,100	6,821	9,013	24,100	6,812	8,383	24,100	6,796	1,576	24,100	6,839	1,711				24,100	6,796	1,616	24,100	6,665	1,448	24,100	6,817	1,623	24,100	6,768	1,544																																				
									24,150	6,616	0,976	24,150	6,637	9,991	24,150	6,613	9,991	24,150	6,677	9,991	24,150	6,874	9,991	24,150	6,829	9,991	24,150	6,769	9,849	24,150	6,721	5,949	24,150	6,751	9,516	24,150	6,887	4,850	24,150	6,854	8,516	24,150	6,821	9,992	24,150	6,836	9,104	24,150	6,826	8,573	24,150	6,811	1,640	24,150	6,853	1,700				24,150	6,810	1,606	24,150	6,680	1,414	24,150	6,831	1,684	24,150	6,783	1,567																																				
									24,200	6,631	0,980	24,200	6,652	9,991	24,200	6,627	9,991	24,200	6,692	9,991	24,200	6,887	9,991	24,200	6,843	9,991	24,200	6,783	9,910	24,200	6,735	5,975	24,200	6,765	9,689	24,200	6,902	4,898	24,200	6,868	8,716	24,200	6,835	9,991	24,200	6,850	9,302	24,200	6,840	8,662	24,200	6,825	1,636	24,200	6,867	1,781				24,200	6,825	1,676	24,200	6,694	1,467	24,200	6,845	1,687	24,200	6,797	1,597																																				
									24,250	6,645	0,993	24,250	6,666	9,991	24,250	6,641	9,991	24,250	6,706	9,991	24,250	6,901	9,991	24,250	6,857	9,991	24,250	6,798	9,977	24,250	6,749	6,113	24,250	6,779	9,786	24,250	6,916	5,043	24,250	6,881	8,823	24,250	6,849	9,991	24,250	6,864	9,402	24,250	6,854	8,864	24,250	6,839	1,704	24,250	6,880	1,774				24,250	6,839	1,669	24,250	6,708	1,439	24,250	6,860	1,752	24,250	6,811	1,622																																				
									24,300	6,659	0,998	24,300	6,680	9,991	24,300	6,656	9,991	24,300	6,720	9,991	24,300	6,916	9,991	24,300	6,871	9,991	24,300	6,812	9,992	24,300	6,763	6,145	24,300	6,793	9,910	24,300	6,931	5,097	24,300	6,895	9,034	24,300	6,863	9,991	24,300	6,878	9,612	24,300	6,869	8,963	24,300	6,854	1,702	24,300	6,895	1,860				24,300	6,853	1,742	24,300	6,722	1,499	24,300	6,873	1,759	24,300	6,826	1,657																																				
									24,350	6,673	1,011	24,350	6,695	9,991	24,350	6,670	9,991	24,350	6,735	9,991	24,350	6,930	9,991	24,350	6,885	9,991	24,350	6,826	9,991	24,350	6,778	6,291	24,350	6,808	9,960	24,350	6,945	5,248	24,350	6,910	9,151	24,350	6,877	9,991	24,350	6,892	9,719	24,350	6,882	9,174	24,350	6,868	1,775	24,350	6,909	1,857				24,350	6,867	1,738	24,350	6,737	1,476	24,350	6,887	1,828	24,350	6,840	1,686																																				
									24,400	6,688	1,016	24,400	6,709	9,991	24,400	6,684	9,991	24,400	6,749	9,991	24,400	6,945	9,991	24,400	6,899	9,991	24,400	6,841	9,991	24,400	6,792	6,331	24,400	6,822	9,992	24,400	6,959	5,305	24,400	6,924	9,373	24,400	6,891	9,991	24,400	6,906	9,879	24,400	6,896	9,282	24,400	6,881	1,776	24,400	6,923	1,946				24,400	6,881	1,817	24,400	6,751	1,540	24,400	6,901	1,840	24,400	6,854	1,723																																				
									24,450	6,702	1,029	24,450	6,723	9,991	24,450	6,699	9,991	24,450	6,763	9,991	24,450	6,959	9,991	24,450	6,913	9,991	24,450	6,855	9,991	24,450	6,806	6,488	24,450	6,836	9,991	24,450	6,973	5,463	24,450	6,938	9,500	24,450	6,905	9,991	24,450	6,920	9,934	24,450	6,911	9,507	24,450	6,895	1,854	24,450	6,938	1,948				24,450	6,895	1,817	24,450	6,765	1,521	24,450	6,916	1,913	24,450	6,868	1,757																																				
									24,500	6,716	1,034	24,500	6,737	9,991	24,500	6,713	9,991	24,500	6,777	9,991	24,500	6,973	9,991	24,500	6,927	9,991	24,500	6,869	9,991	24,500	6,820	6,540	24,500	6,850	9,991	24,500	6,987	5,523	24,500	6,952	9,733	24,500	6,919	9,991	24,500	6,935	9,989	24,500	6,925	9,627	24,500	6,910	1,858	24,500	6,951	2,039				24,500	6,909	1,900	24,500	6,779	1,589	24,500	6,930	1,929	24,500	6,882	1,799																																				
									24,550	6,730	1,047	24,550	6,751	9,991	24,550	6,727	9,991	24,550	6,791	9,991	24,550	6,988	9,991	24,550	6,942	9,991	24,550	6,883	9,991	24,550	6,835	6,706	24,550	6,865	9,991	24,550	7,002	5,683	24,550	6,967	9,842	24,550	6,934	9,991	24,550	6,949	9,991	24,550	6,939	9,830	24,550	6,924	1,941	24,550	6,966	2,042				24,550	6,923	1,904	24,550	6,793	1,573	24,550	6,944	2,003	24,550	6,896	1,837																																				
									24,600	6,744	1,053	24,600	6,766	9,991	24,600	6,741	9,991	24,600	6,806	9,991	24,600	7,002	9,991	24,600	6,956	9,991	24,600	6,897	9,991	24,600	6,849	6,769	24,600	6,878	9,991	24,600	7,016	5,746	24,600	6,981	9,961	24,600	6,948	9,991	24,600	6,963	9,991	24,600	6,953	9,906	24,600	6,938	1,947	24,600	6,980	2,136				24,600	6,938	1,991	24,600	6,808	1,645	24,600	6,959	2,023	24,600	6,910	1,882																																				
									24,650	6,759	1,066	24,650	6,780	9,991	24,650	6,756	9,991	24,650	6,820	9,991	24,650	7,016	9,991	24,650	6,970	9,991	24,650	6,911	9,991	24,650	6,863	6,946	24,650	6,892	9,991	24,650	7,030	5,910	24,650	6,995	9,990	24,650	6,962	9,991	24,650	6,977	9,991	24,650	6,967	9,985	24,650	6,952	2,035	24,650	6,994	2,141				24,650	6,952	1,996	24,650	6,822	1,633	24,650	6,973	2,099	24,650	6,924	1,923																																				
									24,700	6,773	1,073	24,700	6,794	9,991	24,700	6,770	9,991	24,700	6,834	9,991	24,700	7,031	9,991	24,700	6,985	9,991	24,700	6,926	9,991	24,700	6,877	7,018	24,700	6,906	9,991	24,700	7,044	5,974	24,700	7,009	9,991	24,700	6,976	9,991	24,700	6,991	9,991	24,700	6,982	9,992	24,700	6,966	2,043	24,700	7,008	2,237				24,700	6,966	2,086	24,700	6,836	1,708	24,700	6,987	2,121	24,700	6,939	1,971																																				
									24,750	6,787	1,085	24,750	6,808	9,991	24,750	6,784	9,991	24,750	6,848	9,991	24,750	7,045	9,991	24,750	6,999	9,991	24,750	6,940	9,991	24,750	6,891	7,206	24,750	6,921	9,991	24,750	7,059	6,139	24,750	7,024	9,991	24,750	6,991	9,991	24,750	7,006	9,991	24,750	6,996	9,991	24,750	6,981	2,133	24,750	7,023	2,244				24,750	6,980	2,093	24,750	6,851	1,699	24,750	7,001	2,200	24,750	6,953	2,017																																				
									24,800	6,801	1,092	24,800	6,823	9,991	24,800	6,799	9,991	24,800	6,862	9,991	24,800	7,059	9,991	24,800	7,013	9,991	24,800	6,954	9,991	24,800	6,905	7,285	24,800	6,935	9,991	24,800	7,073	6,204	24,800	7,038	9,991	24,800	7,005	9,991	24,800	7,020	9,991	24,800	7,010	9,991	24,800	6,994	2,141	24,800	7,037	2,342				24,800	6,995	2,185	24,800	6,865	1,779	24,800	7,015	2,223	24,800	6,967	2,065																																				
									24,850	6,816	1,104	24,850	6,837	9,991	24,850	6,812	9,991	24,850	6,876	9,991	24,850	7,073	9,991	24,850	7,027	9,991	24,850	6,968	9,991	24,850	6,919	7,481	24,850	6,949	9,991	24,850	7,087	6,371	24,850	7,052	9,991	24,850	7,019	9,991	24,850	7,034	9,991	24,850	7,024	9,991	24,850	7,009	2,235	24,850	7,051	2,350				24,850	7,009	2,191	24,850	6,879	1,773	24,850	7,030	2,304	24,850	6,982	2,114																																				
									24,900	6,830	1,111	24,900	6,851	9,991	24,900	6,827	9,991	24,900	6,890	9,991	24,900	7,088	9,991	24,900	7,041	9,991	24,900	6,983	9,991	24,900	6,933	7,567	24,900	6,964	9,991	24,900	7,102	6,440	24,900	7,066	9,991	24,900	7,033	9,991	24,900	7,048	9,991	24,900	7,038	9,991	24,900	7,023	2,243	24,900	7,066	2,450				24,900	7,023	2,279	24,900	6,892	1,857	24,900	7,044	2,329	24,900	6,996	2,165																																				
									24,950	6,844	1,123	24,950	6,865	9,991	24,950	6,841	9,991	24,950	6,904	9,991	24,950	7,102	9,991	24,950	7,056	9,991	24,950	6,997	9,991	24,950	6,948	7,772	24,950	6,978	9,991	24,950	7,116	6,612	24,950	7,080	9,991	24,950	7,047	9,991	24,950	7,062	9,991	24,950	7,053	9,991	24,950	7,037	2,340	24,950	7,080	2,460				24,950	7,037	2,298	24,950	6,907	1,855	24,950	7,058	2,409	24,950	7,010	2,216																																				
									25,000	6,858	1,131	25,000	6,879	9,991	25,000	6,855	9,991	25,000	6,918	9,991	25,000	7,117	9,991	25,000	7,070	9,991	25,000	7,012	9,991	25,000	6,962	7,867	25,000	6,992	9,991	25,000	7,130	6,684	25,000	7,095	9,991	25,000	7,062	9,991	25,000	7,077	9,991	25,000	7,067	9,991	25,000	7,052	2,349	25,000	7,094	2,561				25,000	7,051	2,394	25,000	6,921	1,943	25,000	7,072	2,437	25,000	7,025	2,269																																				
									25,050	6,872	1,144	25,050	6,893	9,991	25,050	6,869	9,991	25,050	6,933	9,991	25,050	7,131	9,991	25,050	7,084	9,991	25,050	7,025	9,991	25,050	6,976	8,079	25,050	7,006	9,991	25,050	7,144	6,862	25,050	7,109	9,991	25,050	7,076	9,991	25,050	7,091	9,991	25,050	7,081	9,991	25,050	7,066	2,448	25,050	7,108	2,574				25,050	7,066	2,406	25,050	6,935	1,945	25,050	7,087	2,521	25,050	7,039	2,320																																				
									25,100	6,886	1,153	25,100	6,907	9,991	25,100	6,883	9,991	25,100	6,947	9,991	25,100	7,146	9,991	25,100	7,099	9,991	25,100	7,040	9,991	25,100	6,990	8,179	25,100	7,021	9,991	25,100	7,159	6,939	25,100	7,123	9,991	25,100	7,090	9,991	25,100	7,105	9,991	25,100	7,096	9,991	25,100	7,080	2,458	25,100	7,123	2,678				25,100	7,080	2,504	25,100	6,949	2,036	25,100	7,101	2,550	25,100	7,053	2,375																																				
									25,150	6,900	1,165	25,150	6,921	9,991	25,150	6,897	9,991	25,150	6,961	9,991	25,150	7,159	9,991	25,150	7,113	9,991	25,150	7,054	9,991	25,150	7,005	8,397	25,150	7,035	9,991	25,150	7,172	7,120	25,150	7,137	9,991	25,150	7,105	9,991	25,150	7,119	9,991	25,150	7,110	9,991	25,150	7,094	2,560	25,150	7,137	2,695				25,150	7,094	2,517	25,150	6,964	2,040	25,150	7,115	2,635	25,150	7,067	2,427																																				
									25,200	6,914	1,174	25,200	6,935	9,991	25,200	6,911	9,991	25,200	6,975	9,991	25,200	7,174	9,991	25,200	7,127	9,991	25,200	7,069	9,991	25,200	7,019	8,500	25,200	7,049	9,991	25,200	7,186	7,199	25,200	7,152	9,991	25,200	7,119	9,991	25,200	7,133	9,991	25,200	7,124	9,991	25,200	7,109	2,572	25,200	7,151	2,801				25,200	7,108	2,618	25,200	6,978	2,134	25,200	7,129	2,669	25,200	7,082	2,485																																				
